27;-1;0.929825;0.263158;0.122807;1;-0.0535715;-0.303571;-0.0892858;-0.621429;-0.217857;-0.678571;-0.321429;-0.571429;-0.410714;-0.660714;-1;0;-1;-1;-1

26.2;-0.473684;-1;0.929825;0.263158;-0.428571;1;-0.0535715;-0.303571;-0.0892858;-0.621429;-0.217857;-0.678571;-0.321429;-0.571429;-0.410714;+1;0;+1;+1;-1

26.4;0.22807;-0.473684;-1;0.929825;-0.357143;-0.428571;1;-0.0535715;-0.303571;-0.0892858;-0.621429;-0.217857;-0.678571;-0.321429;-0.571429;-1;0;-1;-1;-1

25.99;-0.2;0.22807;-0.473684;-1;-0.0178572;-0.357143;-0.428571;1;-0.0535715;-0.303571;-0.0892858;-0.621429;-0.217857;-0.678571;-0.321429;+1;0;+1;+1;-1

27;0.796491;-0.2;0.22807;-0.473684;-1;-0.0178572;-0.357143;-0.428571;1;-0.0535715;-0.303571;-0.0892858;-0.621429;-0.217857;-0.678571;+1;0;+1;+1;-1

27.01;0.0947368;0.796491;-0.2;0.22807;-0.732143;-1;-0.0178572;-0.357143;-0.428571;1;-0.0535715;-0.303571;-0.0892858;-0.621429;-0.217857;-1;0;-1;-1;-1

27;0.0807018;0.0947368;0.796491;-0.2;-0.375;-0.732143;-1;-0.0178572;-0.357143;-0.428571;1;-0.0535715;-0.303571;-0.0892858;-0.621429;-1;0;-1;-1;-1

25.5;-0.964912;0.0807018;0.0947368;0.796491;-0.592857;-0.375;-0.732143;-1;-0.0178572;-0.357143;-0.428571;1;-0.0535715;-0.303571;-0.0892858;-1;0;-1;-1;-1

24.8;-0.403509;-0.964912;0.0807018;0.0947368;-0.0857143;-0.592857;-0.375;-0.732143;-1;-0.0178572;-0.357143;-0.428571;1;-0.0535715;-0.303571;-1;0;-1;-1;-1

24.21;-0.326316;-0.403509;-0.964912;0.0807018;-0.442857;-0.0857143;-0.592857;-0.375;-0.732143;-1;-0.0178572;-0.357143;-0.428571;1;-0.0535715;+1;0;+1;-1;-1

24.5;0.291228;-0.326316;-0.403509;-0.964912;-0.45;-0.442857;-0.0857143;-0.592857;-0.375;-0.732143;-1;-0.0178572;-0.357143;-0.428571;1;+1;0;+1;+1;+1

25.15;0.54386;0.291228;-0.326316;-0.403509;-0.982143;-0.45;-0.442857;-0.0857143;-0.592857;-0.375;-0.732143;-1;-0.0178572;-0.357143;-0.428571;-1;0;-1;+1;-1

24.13;-0.62807;0.54386;0.291228;-0.326316;-0.696429;-0.982143;-0.45;-0.442857;-0.0857143;-0.592857;-0.375;-0.732143;-1;-0.0178572;-0.357143;-1;0;-1;-1;-1

23;-0.705263;-0.62807;0.54386;0.291228;-0.657143;-0.696429;-0.982143;-0.45;-0.442857;-0.0857143;-0.592857;-0.375;-0.732143;-1;-0.0178572;+1;0;-1;-1;-1

23.02;0.101754;-0.705263;-0.62807;0.54386;-0.342857;-0.657143;-0.696429;-0.982143;-0.45;-0.442857;-0.0857143;-0.592857;-0.375;-0.732143;-1;+1;0;+1;-1;-1

23.8;0.635088;0.101754;-0.705263;-0.62807;-0.214286;-0.342857;-0.657143;-0.696429;-0.982143;-0.45;-0.442857;-0.0857143;-0.592857;-0.375;-0.732143;-1;0;+1;+1;-1

23.75;0.0526316;0.635088;0.101754;-0.705263;-0.810714;-0.214286;-0.342857;-0.657143;-0.696429;-0.982143;-0.45;-0.442857;-0.0857143;-0.592857;-0.375;+1;0;+1;+1;-1

23.95;0.22807;0.0526316;0.635088;0.101754;-0.85;-0.810714;-0.214286;-0.342857;-0.657143;-0.696429;-0.982143;-0.45;-0.442857;-0.0857143;-0.592857;-1;0;-1;-1;-1

23.66;-0.115789;0.22807;0.0526316;0.635088;-0.439286;-0.85;-0.810714;-0.214286;-0.342857;-0.657143;-0.696429;-0.982143;-0.45;-0.442857;-0.0857143;-1;0;-1;-1;-1

23.3;-0.164912;-0.115789;0.22807;0.0526316;-0.167857;-0.439286;-0.85;-0.810714;-0.214286;-0.342857;-0.657143;-0.696429;-0.982143;-0.45;-0.442857;-1;0;-1;-1;-1

