68.49;0.482759;-0.0320197;-0.5;0.214286;-0.130542;-0.302956;-0.315271;0.103448;0.0566502;-0.0221675;+1;0;+1;-1;-1

69;-0.0541872;0.482759;-0.0320197;-0.5;0.214286;-0.130542;-0.302956;-0.315271;0.103448;0.0566502;+1;0;-1;-1;-1

69.94;0.0517241;-0.0541872;0.482759;-0.0320197;-0.5;0.214286;-0.130542;-0.302956;-0.315271;0.103448;+1;0;-1;-1;-1

71.88;0.29803;0.0517241;-0.0541872;0.482759;-0.0320197;-0.5;0.214286;-0.130542;-0.302956;-0.315271;+1;0;-1;-1;-1

73.66;0.258621;0.29803;0.0517241;-0.0541872;0.482759;-0.0320197;-0.5;0.214286;-0.130542;-0.302956;+1;0;-1;-1;-1

73.85;-0.133005;0.258621;0.29803;0.0517241;-0.0541872;0.482759;-0.0320197;-0.5;0.214286;-0.130542;-1;0;-1;-1;-1

72;-0.635468;-0.133005;0.258621;0.29803;0.0517241;-0.0541872;0.482759;-0.0320197;-0.5;0.214286;-1;0;-1;-1;-1

69.8;-0.721675;-0.635468;-0.133005;0.258621;0.29803;0.0517241;-0.0541872;0.482759;-0.0320197;-0.5;+1;0;-1;-1;-1

70.34;-0.046798;-0.721675;-0.635468;-0.133005;0.258621;0.29803;0.0517241;-0.0541872;0.482759;-0.0320197;-1;0;-1;-1;-1

67.01;-1;-0.046798;-0.721675;-0.635468;-0.133005;0.258621;0.29803;0.0517241;-0.0541872;0.482759;+1;0;-1;-1;-1

67.7;-0.00985222;-1;-0.046798;-0.721675;-0.635468;-0.133005;0.258621;0.29803;0.0517241;-0.0541872;-1;0;-1;-1;-1

66.51;-0.472906;-0.00985222;-1;-0.046798;-0.721675;-0.635468;-0.133005;0.258621;0.29803;0.0517241;-1;0;+1;-1;-1

65.3;-0.477833;-0.472906;-0.00985222;-1;-0.046798;-0.721675;-0.635468;-0.133005;0.258621;0.29803;-1;0;-1;-1;-1

64.05;-0.487685;-0.477833;-0.472906;-0.00985222;-1;-0.046798;-0.721675;-0.635468;-0.133005;0.258621;-1;0;-1;-1;-1

61;-0.931035;-0.487685;-0.477833;-0.472906;-0.00985222;-1;-0.046798;-0.721675;-0.635468;-0.133005;-1;0;-1;-1;-1

60.41;-0.325123;-0.931035;-0.487685;-0.477833;-0.472906;-0.00985222;-1;-0.046798;-0.721675;-0.635468;-1;0;-1;-1;-1

59.7;-0.35468;-0.325123;-0.931035;-0.487685;-0.477833;-0.472906;-0.00985222;-1;-0.046798;-0.721675;+1;0;+1;-1;-1

62.8;0.583744;-0.35468;-0.325123;-0.931035;-0.487685;-0.477833;-0.472906;-0.00985222;-1;-0.046798;+1;0;+1;-1;-1

65.4;0.460591;0.583744;-0.35468;-0.325123;-0.931035;-0.487685;-0.477833;-0.472906;-0.00985222;-1;-1;0;-1;-1;-1

64.45;-0.413793;0.460591;0.583744;-0.35468;-0.325123;-0.931035;-0.487685;-0.477833;-0.472906;-0.00985222;-1;0;-1;-1;-1

61.4;-0.931035;-0.413793;0.460591;0.583744;-0.35468;-0.325123;-0.931035;-0.487685;-0.477833;-0.472906;-1;0;-1;-1;-1

60.5;-0.401478;-0.931035;-0.413793;0.460591;0.583744;-0.35468;-0.325123;-0.931035;-0.487685;-0.477833;+1;0;+1;-1;-1

63.9;0.657636;-0.401478;-0.931035;-0.413793;0.460591;0.583744;-0.35468;-0.325123;-0.931035;-0.487685;+1;0;-1;-1;-1

64.4;-0.0566503;0.657636;-0.401478;-0.931035;-0.413793;0.460591;0.583744;-0.35468;-0.325123;-0.931035;-1;0;-1;-1;-1

62.4;-0.672414;-0.0566503;0.657636;-0.401478;-0.931035;-0.413793;0.460591;0.583744;-0.35468;-0.325123;-1;0;-1;-1;-1

