127;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;6.50;1.00;5.50;-1.50;-3.50;-1.50;2.45;4.55;0.50;4.50;-1.50;-3.50;0.00;-0.50;-1.50;4.00;0.51;0.99;-0.40;0.40;1.40;-2.40;-1.89;-0.71;0.10;1.01;3.09;-0.85;0.75;0.75;5.35;4.69;4.21;+1;0;0;0;0

128.5;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;6.50;1.00;5.50;-1.50;-3.50;-1.50;2.45;4.55;0.50;4.50;-1.50;-3.50;0.00;-0.50;-1.50;4.00;0.51;0.99;-0.40;0.40;1.40;-2.40;-1.89;-0.71;0.10;1.01;3.09;-0.85;0.75;0.75;5.35;4.69;+1;0;0;0;0

128.6;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;6.50;1.00;5.50;-1.50;-3.50;-1.50;2.45;4.55;0.50;4.50;-1.50;-3.50;0.00;-0.50;-1.50;4.00;0.51;0.99;-0.40;0.40;1.40;-2.40;-1.89;-0.71;0.10;1.01;3.09;-0.85;0.75;0.75;5.35;+1;0;0;0;0

130;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;6.50;1.00;5.50;-1.50;-3.50;-1.50;2.45;4.55;0.50;4.50;-1.50;-3.50;0.00;-0.50;-1.50;4.00;0.51;0.99;-0.40;0.40;1.40;-2.40;-1.89;-0.71;0.10;1.01;3.09;-0.85;0.75;0.75;-1;0;0;0;0

127.6;-2.40;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;6.50;1.00;5.50;-1.50;-3.50;-1.50;2.45;4.55;0.50;4.50;-1.50;-3.50;0.00;-0.50;-1.50;4.00;0.51;0.99;-0.40;0.40;1.40;-2.40;-1.89;-0.71;0.10;1.01;3.09;-0.85;0.75;-1;0;0;0;0

125;-2.60;-2.40;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;6.50;1.00;5.50;-1.50;-3.50;-1.50;2.45;4.55;0.50;4.50;-1.50;-3.50;0.00;-0.50;-1.50;4.00;0.51;0.99;-0.40;0.40;1.40;-2.40;-1.89;-0.71;0.10;1.01;3.09;-0.85;+1;0;0;0;0

127.8;2.80;-2.60;-2.40;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;6.50;1.00;5.50;-1.50;-3.50;-1.50;2.45;4.55;0.50;4.50;-1.50;-3.50;0.00;-0.50;-1.50;4.00;0.51;0.99;-0.40;0.40;1.40;-2.40;-1.89;-0.71;0.10;1.01;3.09;-1;0;0;0;0

121;-6.80;2.80;-2.60;-2.40;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;6.50;1.00;5.50;-1.50;-3.50;-1.50;2.45;4.55;0.50;4.50;-1.50;-3.50;0.00;-0.50;-1.50;4.00;0.51;0.99;-0.40;0.40;1.40;-2.40;-1.89;-0.71;0.10;1.01;+1;0;0;0;0

123.49;2.49;-6.80;2.80;-2.60;-2.40;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;6.50;1.00;5.50;-1.50;-3.50;-1.50;2.45;4.55;0.50;4.50;-1.50;-3.50;0.00;-0.50;-1.50;4.00;0.51;0.99;-0.40;0.40;1.40;-2.40;-1.89;-0.71;0.10;+1;0;0;0;0

127;3.51;2.49;-6.80;2.80;-2.60;-2.40;1.40;0.10;1.50;7.50;4.50;1.00;0.00;0.00;0.02;-0.02;-3.99;-0.21;1.21;-1.01;1.01;-2.99;1.98;-1.70;-0.32;-3.98;4.30;1.70;-0.01;0.01;0.10;-2.10;2.01;1.99;-2.00;0.39;2.61;5.00;2.00;0.90;0.12;-0.02;2.00;-2.60;-2.40;6.50;-5.50;-1.00;-3.00;-5.00;0.85;0.15;6.10;-1.09;-0.01;4.50;6.50;1.00;5.50;-1.50;-3.50;-1.50;2.45;4.55;0.50;4.50;-1.50;-3.50;0.00;-0.50;-1.50;4.00;0.51;0.99;-0.40;0.40;1.40;-2.40;-1.89;-0.71;-1;0;0;0;0

