846.5;11.50;5.00;26.00;-2.50;-43.50;-32.00;-18.00;-15.00;-7.99;-27.01;-32.51;20.51;31.99;15.01;-30.00;+1;0;0;0;0

857.99;11.49;11.50;5.00;26.00;-2.50;-43.50;-32.00;-18.00;-15.00;-7.99;-27.01;-32.51;20.51;31.99;15.01;+1;0;0;0;0

860.5;2.51;11.49;11.50;5.00;26.00;-2.50;-43.50;-32.00;-18.00;-15.00;-7.99;-27.01;-32.51;20.51;31.99;-1;0;0;0;0

849;-11.50;2.51;11.49;11.50;5.00;26.00;-2.50;-43.50;-32.00;-18.00;-15.00;-7.99;-27.01;-32.51;20.51;-1;0;0;0;0

843;-6.00;-11.50;2.51;11.49;11.50;5.00;26.00;-2.50;-43.50;-32.00;-18.00;-15.00;-7.99;-27.01;-32.51;-1;0;0;0;0

840;-3.00;-6.00;-11.50;2.51;11.49;11.50;5.00;26.00;-2.50;-43.50;-32.00;-18.00;-15.00;-7.99;-27.01;+1;0;0;0;0

854;14.00;-3.00;-6.00;-11.50;2.51;11.49;11.50;5.00;26.00;-2.50;-43.50;-32.00;-18.00;-15.00;-7.99;+1;0;0;0;0

890;36.00;14.00;-3.00;-6.00;-11.50;2.51;11.49;11.50;5.00;26.00;-2.50;-43.50;-32.00;-18.00;-15.00;+1;0;0;0;0

900.01;10.01;36.00;14.00;-3.00;-6.00;-11.50;2.51;11.49;11.50;5.00;26.00;-2.50;-43.50;-32.00;-18.00;+1;0;0;0;0

939.99;39.98;10.01;36.00;14.00;-3.00;-6.00;-11.50;2.51;11.49;11.50;5.00;26.00;-2.50;-43.50;-32.00;+1;0;0;0;0

943;3.01;39.98;10.01;36.00;14.00;-3.00;-6.00;-11.50;2.51;11.49;11.50;5.00;26.00;-2.50;-43.50;-1;0;0;0;0

920;-23.00;3.01;39.98;10.01;36.00;14.00;-3.00;-6.00;-11.50;2.51;11.49;11.50;5.00;26.00;-2.50;-1;0;0;0;0

907;-13.00;-23.00;3.01;39.98;10.01;36.00;14.00;-3.00;-6.00;-11.50;2.51;11.49;11.50;5.00;26.00;+1;0;0;0;0

910;3.00;-13.00;-23.00;3.01;39.98;10.01;36.00;14.00;-3.00;-6.00;-11.50;2.51;11.49;11.50;5.00;-1;0;0;0;0

895;-15.00;3.00;-13.00;-23.00;3.01;39.98;10.01;36.00;14.00;-3.00;-6.00;-11.50;2.51;11.49;11.50;+1;0;0;0;0

900;5.00;-15.00;3.00;-13.00;-23.00;3.01;39.98;10.01;36.00;14.00;-3.00;-6.00;-11.50;2.51;11.49;-1;0;0;0;0

885;-15.00;5.00;-15.00;3.00;-13.00;-23.00;3.01;39.98;10.01;36.00;14.00;-3.00;-6.00;-11.50;2.51;+1;0;0;0;0

888;3.00;-15.00;5.00;-15.00;3.00;-13.00;-23.00;3.01;39.98;10.01;36.00;14.00;-3.00;-6.00;-11.50;-1;0;0;0;0

868;-20.00;3.00;-15.00;5.00;-15.00;3.00;-13.00;-23.00;3.01;39.98;10.01;36.00;14.00;-3.00;-6.00;-1;0;0;0;0

862;-6.00;-20.00;3.00;-15.00;5.00;-15.00;3.00;-13.00;-23.00;3.01;39.98;10.01;36.00;14.00;-3.00;+1;0;0;0;0

863;1.00;-6.00;-20.00;3.00;-15.00;5.00;-15.00;3.00;-13.00;-23.00;3.01;39.98;10.01;36.00;14.00;+1;0;0;0;0

883;20.00;1.00;-6.00;-20.00;3.00;-15.00;5.00;-15.00;3.00;-13.00;-23.00;3.01;39.98;10.01;36.00;-1;0;0;0;0

872;-11.00;20.00;1.00;-6.00;-20.00;3.00;-15.00;5.00;-15.00;3.00;-13.00;-23.00;3.01;39.98;10.01;-1;0;0;0;0

871;-1.00;-11.00;20.00;1.00;-6.00;-20.00;3.00;-15.00;5.00;-15.00;3.00;-13.00;-23.00;3.01;39.98;+1;0;0;0;0

886.1;15.10;-1.00;-11.00;20.00;1.00;-6.00;-20.00;3.00;-15.00;5.00;-15.00;3.00;-13.00;-23.00;3.01;+1;0;0;0;0

898;11.90;15.10;-1.00;-11.00;20.00;1.00;-6.00;-20.00;3.00;-15.00;5.00;-15.00;3.00;-13.00;-23.00;-1;0;0;0;0

885.5;-12.50;11.90;15.10;-1.00;-11.00;20.00;1.00;-6.00;-20.00;3.00;-15.00;5.00;-15.00;3.00;-13.00;-1;0;0;0;0

879;-6.50;-12.50;11.90;15.10;-1.00;-11.00;20.00;1.00;-6.00;-20.00;3.00;-15.00;5.00;-15.00;3.00;+1;0;0;0;0

883;4.00;-6.50;-12.50;11.90;15.10;-1.00;-11.00;20.00;1.00;-6.00;-20.00;3.00;-15.00;5.00;-15.00;-1;0;0;0;0

871;-12.00;4.00;-6.50;-12.50;11.90;15.10;-1.00;-11.00;20.00;1.00;-6.00;-20.00;3.00;-15.00;5.00;+1;0;0;0;0

875;4.00;-12.00;4.00;-6.50;-12.50;11.90;15.10;-1.00;-11.00;20.00;1.00;-6.00;-20.00;3.00;-15.00;+1;0;0;0;0

894.01;19.01;4.00;-12.00;4.00;-6.50;-12.50;11.90;15.10;-1.00;-11.00;20.00;1.00;-6.00;-20.00;3.00;+1;0;0;0;0

895;0.99;19.01;4.00;-12.00;4.00;-6.50;-12.50;11.90;15.10;-1.00;-11.00;20.00;1.00;-6.00;-20.00;+1;0;0;0;0

900;5.00;0.99;19.01;4.00;-12.00;4.00;-6.50;-12.50;11.90;15.10;-1.00;-11.00;20.00;1.00;-6.00;-1;0;0;0;0

884;-16.00;5.00;0.99;19.01;4.00;-12.00;4.00;-6.50;-12.50;11.90;15.10;-1.00;-11.00;20.00;1.00;+1;0;0;0;0

888;4.00;-16.00;5.00;0.99;19.01;4.00;-12.00;4.00;-6.50;-12.50;11.90;15.10;-1.00;-11.00;20.00;+1;0;0;0;0

893;5.00;4.00;-16.00;5.00;0.99;19.01;4.00;-12.00;4.00;-6.50;-12.50;11.90;15.10;-1.00;-11.00;-1;0;0;0;0

887.99;-5.01;5.00;4.00;-16.00;5.00;0.99;19.01;4.00;-12.00;4.00;-6.50;-12.50;11.90;15.10;-1.00;-1;0;0;0;0

885;-2.99;-5.01;5.00;4.00;-16.00;5.00;0.99;19.01;4.00;-12.00;4.00;-6.50;-12.50;11.90;15.10;-1;0;0;0;0

883;-2.00;-2.99;-5.01;5.00;4.00;-16.00;5.00;0.99;19.01;4.00;-12.00;4.00;-6.50;-12.50;11.90;+1;0;0;0;0

903;20.00;-2.00;-2.99;-5.01;5.00;4.00;-16.00;5.00;0.99;19.01;4.00;-12.00;4.00;-6.50;-12.50;+1;0;0;0;0

912.1;9.10;20.00;-2.00;-2.99;-5.01;5.00;4.00;-16.00;5.00;0.99;19.01;4.00;-12.00;4.00;-6.50;+1;0;0;0;0

934;21.90;9.10;20.00;-2.00;-2.99;-5.01;5.00;4.00;-16.00;5.00;0.99;19.01;4.00;-12.00;4.00;-1;0;0;0;0

928;-6.00;21.90;9.10;20.00;-2.00;-2.99;-5.01;5.00;4.00;-16.00;5.00;0.99;19.01;4.00;-12.00;+1;0;0;0;0

937;9.00;-6.00;21.90;9.10;20.00;-2.00;-2.99;-5.01;5.00;4.00;-16.00;5.00;0.99;19.01;4.00;-1;0;0;0;0

928.51;-8.49;9.00;-6.00;21.90;9.10;20.00;-2.00;-2.99;-5.01;5.00;4.00;-16.00;5.00;0.99;19.01;-1;0;0;0;0

920;-8.51;-8.49;9.00;-6.00;21.90;9.10;20.00;-2.00;-2.99;-5.01;5.00;4.00;-16.00;5.00;0.99;+1;0;0;0;0

924.5;4.50;-8.51;-8.49;9.00;-6.00;21.90;9.10;20.00;-2.00;-2.99;-5.01;5.00;4.00;-16.00;5.00;+1;0;0;0;0

935;10.50;4.50;-8.51;-8.49;9.00;-6.00;21.90;9.10;20.00;-2.00;-2.99;-5.01;5.00;4.00;-16.00;+1;0;0;0;0

947;12.00;10.50;4.50;-8.51;-8.49;9.00;-6.00;21.90;9.10;20.00;-2.00;-2.99;-5.01;5.00;4.00;+1;0;0;0;0

962.99;15.99;12.00;10.50;4.50;-8.51;-8.49;9.00;-6.00;21.90;9.10;20.00;-2.00;-2.99;-5.01;5.00;-1;0;0;0;0

955.5;-7.49;15.99;12.00;10.50;4.50;-8.51;-8.49;9.00;-6.00;21.90;9.10;20.00;-2.00;-2.99;-5.01;+1;0;0;0;0

963;7.50;-7.49;15.99;12.00;10.50;4.50;-8.51;-8.49;9.00;-6.00;21.90;9.10;20.00;-2.00;-2.99;+1;0;0;0;0

981;18.00;7.50;-7.49;15.99;12.00;10.50;4.50;-8.51;-8.49;9.00;-6.00;21.90;9.10;20.00;-2.00;-1;0;0;0;0

970.02;-10.98;18.00;7.50;-7.49;15.99;12.00;10.50;4.50;-8.51;-8.49;9.00;-6.00;21.90;9.10;20.00;+1;0;0;0;0

971.5;1.48;-10.98;18.00;7.50;-7.49;15.99;12.00;10.50;4.50;-8.51;-8.49;9.00;-6.00;21.90;9.10;-1;0;0;0;0

951.3;-20.20;1.48;-10.98;18.00;7.50;-7.49;15.99;12.00;10.50;4.50;-8.51;-8.49;9.00;-6.00;21.90;+1;0;0;0;0

957;5.70;-20.20;1.48;-10.98;18.00;7.50;-7.49;15.99;12.00;10.50;4.50;-8.51;-8.49;9.00;-6.00;-1;0;0;0;0

953;-4.00;5.70;-20.20;1.48;-10.98;18.00;7.50;-7.49;15.99;12.00;10.50;4.50;-8.51;-8.49;9.00;+1;0;0;0;0

957.01;4.01;-4.00;5.70;-20.20;1.48;-10.98;18.00;7.50;-7.49;15.99;12.00;10.50;4.50;-8.51;-8.49;+1;0;0;0;0

968;10.99;4.01;-4.00;5.70;-20.20;1.48;-10.98;18.00;7.50;-7.49;15.99;12.00;10.50;4.50;-8.51;+1;0;0;0;0

970;2.00;10.99;4.01;-4.00;5.70;-20.20;1.48;-10.98;18.00;7.50;-7.49;15.99;12.00;10.50;4.50;-1;0;0;0;0

970;0.00;2.00;10.99;4.01;-4.00;5.70;-20.20;1.48;-10.98;18.00;7.50;-7.49;15.99;12.00;10.50;+1;0;0;0;0

977;7.00;0.00;2.00;10.99;4.01;-4.00;5.70;-20.20;1.48;-10.98;18.00;7.50;-7.49;15.99;12.00;-1;0;0;0;0

974;-3.00;7.00;0.00;2.00;10.99;4.01;-4.00;5.70;-20.20;1.48;-10.98;18.00;7.50;-7.49;15.99;+1;0;0;0;0

974.01;0.01;-3.00;7.00;0.00;2.00;10.99;4.01;-4.00;5.70;-20.20;1.48;-10.98;18.00;7.50;-7.49;-1;0;0;0;0

940;-34.01;0.01;-3.00;7.00;0.00;2.00;10.99;4.01;-4.00;5.70;-20.20;1.48;-10.98;18.00;7.50;+1;0;0;0;0

970;30.00;-34.01;0.01;-3.00;7.00;0.00;2.00;10.99;4.01;-4.00;5.70;-20.20;1.48;-10.98;18.00;+1;0;0;0;0

977;7.00;30.00;-34.01;0.01;-3.00;7.00;0.00;2.00;10.99;4.01;-4.00;5.70;-20.20;1.48;-10.98;+1;0;0;0;0

989;12.00;7.00;30.00;-34.01;0.01;-3.00;7.00;0.00;2.00;10.99;4.01;-4.00;5.70;-20.20;1.48;-1;0;0;0;0

980;-9.00;12.00;7.00;30.00;-34.01;0.01;-3.00;7.00;0.00;2.00;10.99;4.01;-4.00;5.70;-20.20;+1;0;0;0;0

990;10.00;-9.00;12.00;7.00;30.00;-34.01;0.01;-3.00;7.00;0.00;2.00;10.99;4.01;-4.00;5.70;-1;0;0;0;0

985;-5.00;10.00;-9.00;12.00;7.00;30.00;-34.01;0.01;-3.00;7.00;0.00;2.00;10.99;4.01;-4.00;-1;0;0;0;0

