22.95;23.68;22.85;23.56;39220;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;0.11;-0.25;0.14;-0.55;-0.20;-0.32;0.15;-0.45;0.60;0.53;-0.03;0.18;0.12;0.70;0.75;-1;0;0;0;0

22.79;23.15;22.09;22.9;43776;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;0.11;-0.25;0.14;-0.55;-0.20;-0.32;0.15;-0.45;0.60;0.53;-0.03;0.18;0.12;0.70;+1;0;0;0;0

22.95;23.27;22.73;23.04;48548;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;0.11;-0.25;0.14;-0.55;-0.20;-0.32;0.15;-0.45;0.60;0.53;-0.03;0.18;0.12;-1;0;0;0;0

22.8;23.41;22.62;22.92;47729;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;0.11;-0.25;0.14;-0.55;-0.20;-0.32;0.15;-0.45;0.60;0.53;-0.03;0.18;+1;0;0;0;0

22.82;23.33;22.72;23.2;37328;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;0.11;-0.25;0.14;-0.55;-0.20;-0.32;0.15;-0.45;0.60;0.53;-0.03;-1;0;0;0;0

22.76;23.19;22.62;22.89;25506;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;0.11;-0.25;0.14;-0.55;-0.20;-0.32;0.15;-0.45;0.60;0.53;+1;0;0;0;0

22.8;23.19;22.72;22.85;13510;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;0.11;-0.25;0.14;-0.55;-0.20;-0.32;0.15;-0.45;0.60;-1;0;0;0;0

22.35;22.77;22.35;22.77;35678;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;0.11;-0.25;0.14;-0.55;-0.20;-0.32;0.15;-0.45;+1;0;0;0;0

22.65;22.89;22.01;22.12;23783;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;0.11;-0.25;0.14;-0.55;-0.20;-0.32;0.15;-1;0;0;0;0

22.17;22.78;22.09;22.65;26787;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;0.11;-0.25;0.14;-0.55;-0.20;-0.32;+1;0;0;0;0

22.24;22.65;21.9;22.04;26820;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;0.11;-0.25;0.14;-0.55;-0.20;+1;0;0;0;0

22.46;22.72;21.93;22.34;29340;0.22;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;0.11;-0.25;0.14;-0.55;-1;0;0;0;0

