49.3;2.20;0.35;-1.53;-0.51;0.54;-1;0;0;0;0

49;-0.30;2.20;0.35;-1.53;-0.51;-1;0;0;0;0

49;0.00;-0.30;2.20;0.35;-1.53;+1;0;0;0;0

50;1.00;0.00;-0.30;2.20;0.35;-1;0;0;0;0

49.6;-0.40;1.00;0.00;-0.30;2.20;+1;0;0;0;0

51;1.40;-0.40;1.00;0.00;-0.30;-1;0;0;0;0

50.31;-0.69;1.40;-0.40;1.00;0.00;-1;0;0;0;0

50;-0.31;-0.69;1.40;-0.40;1.00;+1;0;0;0;0

52;2.00;-0.31;-0.69;1.40;-0.40;-1;0;0;0;0

50.9;-1.10;2.00;-0.31;-0.69;1.40;-1;0;0;0;0

50.1;-0.80;-1.10;2.00;-0.31;-0.69;-1;0;0;0;0

49.5;-0.60;-0.80;-1.10;2.00;-0.31;+1;0;0;0;0

50;0.50;-0.60;-0.80;-1.10;2.00;+1;0;0;0;0

51.1;1.10;0.50;-0.60;-0.80;-1.10;-1;0;0;0;0

48.2;-2.90;1.10;0.50;-0.60;-0.80;+1;0;0;0;0

49;0.80;-2.90;1.10;0.50;-0.60;-1;0;0;0;0

46.29;-2.71;0.80;-2.90;1.10;0.50;-1;0;0;0;0

45.45;-0.84;-2.71;0.80;-2.90;1.10;+1;0;0;0;0

46;0.55;-0.84;-2.71;0.80;-2.90;-1;0;0;0;0

45.1;-0.90;0.55;-0.84;-2.71;0.80;-1;0;0;0;0

43.3;-1.80;-0.90;0.55;-0.84;-2.71;-1;0;0;0;0

42.6;-0.70;-1.80;-0.90;0.55;-0.84;+1;0;0;0;0

44.27;1.67;-0.70;-1.80;-0.90;0.55;-1;0;0;0;0

44.12;-0.15;1.67;-0.70;-1.80;-0.90;+1;0;0;0;0

44.4;0.28;-0.15;1.67;-0.70;-1.80;-1;0;0;0;0

44;-0.40;0.28;-0.15;1.67;-0.70;-1;0;0;0;0

43;-1.00;-0.40;0.28;-0.15;1.67;-1;0;0;0;0

42;-1.00;-1.00;-0.40;0.28;-0.15;+1;0;0;0;0

43.8;1.80;-1.00;-1.00;-0.40;0.28;-1;0;0;0;0

43;-0.80;1.80;-1.00;-1.00;-0.40;-1;0;0;0;0

41.1;-1.90;-0.80;1.80;-1.00;-1.00;-1;0;0;0;0

39.3;-1.80;-1.90;-0.80;1.80;-1.00;+1;0;0;0;0

41;1.70;-1.80;-1.90;-0.80;1.80;+1;0;0;0;0

41.5;0.50;1.70;-1.80;-1.90;-0.80;+1;0;0;0;0

42.08;0.58;0.50;1.70;-1.80;-1.90;-1;0;0;0;0

41.61;-0.47;0.58;0.50;1.70;-1.80;+1;0;0;0;0

42.59;0.98;-0.47;0.58;0.50;1.70;+1;0;0;0;0

43.2;0.61;0.98;-0.47;0.58;0.50;-1;0;0;0;0

41.81;-1.39;0.61;0.98;-0.47;0.58;-1;0;0;0;0

41.05;-0.76;-1.39;0.61;0.98;-0.47;+1;0;0;0;0

41.81;0.76;-0.76;-1.39;0.61;0.98;+1;0;0;0;0

44.65;2.84;0.76;-0.76;-1.39;0.61;+1;0;0;0;0

46;1.35;2.84;0.76;-0.76;-1.39;+1;0;0;0;0

47.1;1.10;1.35;2.84;0.76;-0.76;-1;0;0;0;0

46.35;-0.75;1.10;1.35;2.84;0.76;-1;0;0;0;0

44.98;-1.37;-0.75;1.10;1.35;2.84;-1;0;0;0;0

44.62;-0.36;-1.37;-0.75;1.10;1.35;+1;0;0;0;0

44.94;0.32;-0.36;-1.37;-0.75;1.10;-1;0;0;0;0

44.7;-0.24;0.32;-0.36;-1.37;-0.75;+1;0;0;0;0

45.5;0.80;-0.24;0.32;-0.36;-1.37;+1;0;0;0;0

45.8;0.30;0.80;-0.24;0.32;-0.36;+1;0;0;0;0

46;0.20;0.30;0.80;-0.24;0.32;+1;0;0;0;0

46.5;0.50;0.20;0.30;0.80;-0.24;-1;0;0;0;0

46.2;-0.30;0.50;0.20;0.30;0.80;+1;0;0;0;0

46.3;0.10;-0.30;0.50;0.20;0.30;+1;0;0;0;0

46.52;0.22;0.10;-0.30;0.50;0.20;-1;0;0;0;0

45.61;-0.91;0.22;0.10;-0.30;0.50;+1;0;0;0;0

45.99;0.38;-0.91;0.22;0.10;-0.30;+1;0;0;0;0

47;1.01;0.38;-0.91;0.22;0.10;+1;0;0;0;0

47.36;0.36;1.01;0.38;-0.91;0.22;-1;0;0;0;0

46.25;-1.11;0.36;1.01;0.38;-0.91;-1;0;0;0;0

46;-0.25;-1.11;0.36;1.01;0.38;+1;0;0;0;0

46.1;0.10;-0.25;-1.11;0.36;1.01;-1;0;0;0;0

45.05;-1.05;0.10;-0.25;-1.11;0.36;+1;0;0;0;0

45.09;0.04;-1.05;0.10;-0.25;-1.11;-1;0;0;0;0

45;-0.09;0.04;-1.05;0.10;-0.25;+1;0;0;0;0

45.3;0.30;-0.09;0.04;-1.05;0.10;+1;0;0;0;0

47;1.70;0.30;-0.09;0.04;-1.05;+1;0;0;0;0

47.05;0.05;1.70;0.30;-0.09;0.04;+1;0;0;0;0

47.8;0.75;0.05;1.70;0.30;-0.09;+1;0;0;0;0

48;0.20;0.75;0.05;1.70;0.30;+1;0;0;0;0

50.02;2.02;0.20;0.75;0.05;1.70;-1;0;0;0;0

48.2;-1.82;2.02;0.20;0.75;0.05;-1;0;0;0;0

47;-1.20;-1.82;2.02;0.20;0.75;-1;0;0;0;0

45.57;-1.43;-1.20;-1.82;2.02;0.20;-1;0;0;0;0

44.75;-0.82;-1.43;-1.20;-1.82;2.02;-1;0;0;0;0

44.2;-0.55;-0.82;-1.43;-1.20;-1.82;+1;0;0;0;0

44.53;0.33;-0.55;-0.82;-1.43;-1.20;+1;0;0;0;0

44.76;0.23;0.33;-0.55;-0.82;-1.43;-1;0;0;0;0

43.9;-0.86;0.23;0.33;-0.55;-0.82;-1;0;0;0;0

42.2;-1.70;-0.86;0.23;0.33;-0.55;+1;0;0;0;0

42.4;0.20;-1.70;-0.86;0.23;0.33;+1;0;0;0;0

43;0.60;0.20;-1.70;-0.86;0.23;-1;0;0;0;0

42.03;-0.97;0.60;0.20;-1.70;-0.86;-1;0;0;0;0

41.99;-0.04;-0.97;0.60;0.20;-1.70;+1;0;0;0;0

42;0.01;-0.04;-0.97;0.60;0.20;+1;0;0;0;0

43.02;1.02;0.01;-0.04;-0.97;0.60;+1;0;0;0;0

44.65;1.63;1.02;0.01;-0.04;-0.97;-1;0;0;0;0

44.5;-0.15;1.63;1.02;0.01;-0.04;+1;0;0;0;0

44.56;0.06;-0.15;1.63;1.02;0.01;+1;0;0;0;0

44.8;0.24;0.06;-0.15;1.63;1.02;-1;0;0;0;0

44.8;0.00;0.24;0.06;-0.15;1.63;-1;0;0;0;0

44.21;-0.59;0.00;0.24;0.06;-0.15;+1;0;0;0;0

44.22;0.01;-0.59;0.00;0.24;0.06;+1;0;0;0;0

45.4;1.18;0.01;-0.59;0.00;0.24;-1;0;0;0;0

45;-0.40;1.18;0.01;-0.59;0.00;+1;0;0;0;0

46.4;1.40;-0.40;1.18;0.01;-0.59;-1;0;0;0;0

45.12;-1.28;1.40;-0.40;1.18;0.01;-1;0;0;0;0

44.25;-0.87;-1.28;1.40;-0.40;1.18;-1;0;0;0;0

42.56;-1.69;-0.87;-1.28;1.40;-0.40;-1;0;0;0;0

41.31;-1.25;-1.69;-0.87;-1.28;1.40;+1;0;0;0;0

42.7;1.39;-1.25;-1.69;-0.87;-1.28;-1;0;0;0;0

42.3;-0.40;1.39;-1.25;-1.69;-0.87;-1;0;0;0;0

41.9;-0.40;-0.40;1.39;-1.25;-1.69;+1;0;0;0;0

42.49;0.59;-0.40;-0.40;1.39;-1.25;+1;0;0;0;0

