11.58;0.13;0.05;-0.47;-1;0;0;0;0

11.55;-0.03;0.13;0.05;+1;0;0;0;0

11.8;0.25;-0.03;0.13;+1;0;0;0;0

12.6;0.80;0.25;-0.03;+1;0;0;0;0

12.69;0.09;0.80;0.25;-1;0;0;0;0

12.63;-0.06;0.09;0.80;-1;0;0;0;0

12.31;-0.32;-0.06;0.09;-1;0;0;0;0

12.28;-0.03;-0.32;-0.06;-1;0;0;0;0

12.05;-0.23;-0.03;-0.32;-1;0;0;0;0

11.86;-0.19;-0.23;-0.03;-1;0;0;0;0

11.83;-0.03;-0.19;-0.23;-1;0;0;0;0

11.75;-0.08;-0.03;-0.19;-1;0;0;0;0

11.45;-0.30;-0.08;-0.03;+1;0;0;0;0

11.5;0.05;-0.30;-0.08;-1;0;0;0;0

11;-0.50;0.05;-0.30;+1;0;0;0;0

11.18;0.18;-0.50;0.05;+1;0;0;0;0

11.3;0.12;0.18;-0.50;+1;0;0;0;0

11.45;0.15;0.12;0.18;+1;0;0;0;0

11.8;0.35;0.15;0.12;-1;0;0;0;0

11.77;-0.03;0.35;0.15;-1;0;0;0;0

11.67;-0.10;-0.03;0.35;-1;0;0;0;0

11.6;-0.07;-0.10;-0.03;+1;0;0;0;0

11.9;0.30;-0.07;-0.10;+1;0;0;0;0

12;0.10;0.30;-0.07;-1;0;0;0;0

11.61;-0.39;0.10;0.30;-1;0;0;0;0

11.17;-0.44;-0.39;0.10;-1;0;0;0;0

10.86;-0.31;-0.44;-0.39;+1;0;0;0;0

11.15;0.29;-0.31;-0.44;-1;0;0;0;0

10.91;-0.24;0.29;-0.31;-1;0;0;0;0

10.8;-0.11;-0.24;0.29;-1;0;0;0;0

10.45;-0.35;-0.11;-0.24;-1;0;0;0;0

10.37;-0.08;-0.35;-0.11;+1;0;0;0;0

10.8;0.43;-0.08;-0.35;-1;0;0;0;0

10.61;-0.19;0.43;-0.08;-1;0;0;0;0

10.6;-0.01;-0.19;0.43;+1;0;0;0;0

11.11;0.51;-0.01;-0.19;-1;0;0;0;0

11.03;-0.08;0.51;-0.01;-1;0;0;0;0

10.98;-0.05;-0.08;0.51;+1;0;0;0;0

11;0.02;-0.05;-0.08;+1;0;0;0;0

11.01;0.01;0.02;-0.05;-1;0;0;0;0

10.8;-0.21;0.01;0.02;+1;0;0;0;0

