1.71;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-0.04;0.05;-0.05;-0.02;-0.04;0.01;0.10;0.06;-0.06;0.07;-0.03;-0.05;-0.06;-0.02;0.10;+1;0;0;0;0

1.72;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-0.04;0.05;-0.05;-0.02;-0.04;0.01;0.10;0.06;-0.06;0.07;-0.03;-0.05;-0.06;-0.02;-1;0;0;0;0

1.69;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-0.04;0.05;-0.05;-0.02;-0.04;0.01;0.10;0.06;-0.06;0.07;-0.03;-0.05;-0.06;+1;0;0;0;0

1.7;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-0.04;0.05;-0.05;-0.02;-0.04;0.01;0.10;0.06;-0.06;0.07;-0.03;-0.05;-1;0;0;0;0

1.65;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-0.04;0.05;-0.05;-0.02;-0.04;0.01;0.10;0.06;-0.06;0.07;-0.03;-1;0;0;0;0

1.63;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-0.04;0.05;-0.05;-0.02;-0.04;0.01;0.10;0.06;-0.06;0.07;+1;0;0;0;0

1.64;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-0.04;0.05;-0.05;-0.02;-0.04;0.01;0.10;0.06;-0.06;-1;0;0;0;0

1.62;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-0.04;0.05;-0.05;-0.02;-0.04;0.01;0.10;0.06;-1;0;0;0;0

1.58;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-0.04;0.05;-0.05;-0.02;-0.04;0.01;0.10;+1;0;0;0;0

1.59;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-0.04;0.05;-0.05;-0.02;-0.04;0.01;-1;0;0;0;0

1.57;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-0.04;0.05;-0.05;-0.02;-0.04;-1;0;0;0;0

1.53;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-0.04;0.05;-0.05;-0.02;+1;0;0;0;0

1.6;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-0.04;0.05;-0.05;-1;0;0;0;0

1.56;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-0.04;0.05;-1;0;0;0;0

1.53;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-0.04;-1;0;0;0;0

1.49;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;-0.01;-1;0;0;0;0

1.41;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;0.01;+1;0;0;0;0

1.46;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-0.06;+1;0;0;0;0

1.52;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;0.05;-1;0;0;0;0

1.5;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;-0.01;-1;0;0;0;0

1.44;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;-0.02;+1;0;0;0;0

1.49;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;0.00;+1;0;0;0;0

1.55;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;0.01;-1;0;0;0;0

1.55;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;0.00;-1;0;0;0;0

1.49;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-0.02;+1;0;0;0;0

1.55;0.06;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-0.01;-1;0;0;0;0

1.49;-0.06;0.06;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-0.04;-1;0;0;0;0

1.49;0.00;-0.06;0.06;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-0.05;-1;0;0;0;0

1.48;-0.01;0.00;-0.06;0.06;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;0.06;-1;0;0;0;0

1.44;-0.04;-0.01;0.00;-0.06;0.06;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-0.01;+1;0;0;0;0

1.47;0.03;-0.04;-0.01;0.00;-0.06;0.06;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;-0.04;-1;0;0;0;0

1.38;-0.09;0.03;-0.04;-0.01;0.00;-0.06;0.06;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;0.04;+1;0;0;0;0

1.46;0.08;-0.09;0.03;-0.04;-0.01;0.00;-0.06;0.06;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;0.03;-1;0;0;0;0

1.4;-0.06;0.08;-0.09;0.03;-0.04;-0.01;0.00;-0.06;0.06;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-0.02;+1;0;0;0;0

1.42;0.02;-0.06;0.08;-0.09;0.03;-0.04;-0.01;0.00;-0.06;0.06;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;0.02;-1;0;0;0;0

1.42;0.00;0.02;-0.06;0.08;-0.09;0.03;-0.04;-0.01;0.00;-0.06;0.06;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;-0.05;-1;0;0;0;0

1.39;-0.03;0.00;0.02;-0.06;0.08;-0.09;0.03;-0.04;-0.01;0.00;-0.06;0.06;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;0.00;+1;0;0;0;0

1.4;0.01;-0.03;0.00;0.02;-0.06;0.08;-0.09;0.03;-0.04;-0.01;0.00;-0.06;0.06;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;0.01;-1;0;0;0;0

1.39;-0.01;0.01;-0.03;0.00;0.02;-0.06;0.08;-0.09;0.03;-0.04;-0.01;0.00;-0.06;0.06;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;0.01;+1;0;0;0;0

1.4;0.01;-0.01;0.01;-0.03;0.00;0.02;-0.06;0.08;-0.09;0.03;-0.04;-0.01;0.00;-0.06;0.06;-0.06;0.00;0.06;0.05;-0.06;-0.02;0.06;0.05;-0.08;-0.04;-0.03;-0.04;0.07;-0.04;-0.02;0.01;-0.04;-0.02;0.01;-0.02;-0.05;0.01;-0.03;0.01;0.04;+1;0;0;0;0

