9.87;0.33;0.20;0.03;0.08;0.05;-0.10;-0.03;0.11;0.12;0.02;-0.14;0.02;-0.29;-0.33;-0.15;0.13;-0.18;0.18;0.48;0.04;0.01;0.21;-0.40;-0.02;-0.02;-0.37;0.44;-0.38;0.14;0.04;0.25;-0.03;0.33;0.09;0.31;-0.35;-0.07;-0.24;-0.14;-0.05;0.15;0.15;0.12;-0.01;-0.06;-0.40;0.19;-0.09;0.20;0.06;-0.06;0.02;0.28;0.30;-0.02;-0.28;0.20;-0.05;-0.31;0.16;+1;0;0;0;0

10.04;0.17;0.33;0.20;0.03;0.08;0.05;-0.10;-0.03;0.11;0.12;0.02;-0.14;0.02;-0.29;-0.33;-0.15;0.13;-0.18;0.18;0.48;0.04;0.01;0.21;-0.40;-0.02;-0.02;-0.37;0.44;-0.38;0.14;0.04;0.25;-0.03;0.33;0.09;0.31;-0.35;-0.07;-0.24;-0.14;-0.05;0.15;0.15;0.12;-0.01;-0.06;-0.40;0.19;-0.09;0.20;0.06;-0.06;0.02;0.28;0.30;-0.02;-0.28;0.20;-0.05;-0.31;+1;0;0;0;0

10.35;0.31;0.17;0.33;0.20;0.03;0.08;0.05;-0.10;-0.03;0.11;0.12;0.02;-0.14;0.02;-0.29;-0.33;-0.15;0.13;-0.18;0.18;0.48;0.04;0.01;0.21;-0.40;-0.02;-0.02;-0.37;0.44;-0.38;0.14;0.04;0.25;-0.03;0.33;0.09;0.31;-0.35;-0.07;-0.24;-0.14;-0.05;0.15;0.15;0.12;-0.01;-0.06;-0.40;0.19;-0.09;0.20;0.06;-0.06;0.02;0.28;0.30;-0.02;-0.28;0.20;-0.05;+1;0;0;0;0

10.45;0.10;0.31;0.17;0.33;0.20;0.03;0.08;0.05;-0.10;-0.03;0.11;0.12;0.02;-0.14;0.02;-0.29;-0.33;-0.15;0.13;-0.18;0.18;0.48;0.04;0.01;0.21;-0.40;-0.02;-0.02;-0.37;0.44;-0.38;0.14;0.04;0.25;-0.03;0.33;0.09;0.31;-0.35;-0.07;-0.24;-0.14;-0.05;0.15;0.15;0.12;-0.01;-0.06;-0.40;0.19;-0.09;0.20;0.06;-0.06;0.02;0.28;0.30;-0.02;-0.28;0.20;+1;0;0;0;0

10.68;0.23;0.10;0.31;0.17;0.33;0.20;0.03;0.08;0.05;-0.10;-0.03;0.11;0.12;0.02;-0.14;0.02;-0.29;-0.33;-0.15;0.13;-0.18;0.18;0.48;0.04;0.01;0.21;-0.40;-0.02;-0.02;-0.37;0.44;-0.38;0.14;0.04;0.25;-0.03;0.33;0.09;0.31;-0.35;-0.07;-0.24;-0.14;-0.05;0.15;0.15;0.12;-0.01;-0.06;-0.40;0.19;-0.09;0.20;0.06;-0.06;0.02;0.28;0.30;-0.02;-0.28;-1;0;0;0;0

10.65;-0.03;0.23;0.10;0.31;0.17;0.33;0.20;0.03;0.08;0.05;-0.10;-0.03;0.11;0.12;0.02;-0.14;0.02;-0.29;-0.33;-0.15;0.13;-0.18;0.18;0.48;0.04;0.01;0.21;-0.40;-0.02;-0.02;-0.37;0.44;-0.38;0.14;0.04;0.25;-0.03;0.33;0.09;0.31;-0.35;-0.07;-0.24;-0.14;-0.05;0.15;0.15;0.12;-0.01;-0.06;-0.40;0.19;-0.09;0.20;0.06;-0.06;0.02;0.28;0.30;-0.02;-1;0;0;0;0

10.38;-0.27;-0.03;0.23;0.10;0.31;0.17;0.33;0.20;0.03;0.08;0.05;-0.10;-0.03;0.11;0.12;0.02;-0.14;0.02;-0.29;-0.33;-0.15;0.13;-0.18;0.18;0.48;0.04;0.01;0.21;-0.40;-0.02;-0.02;-0.37;0.44;-0.38;0.14;0.04;0.25;-0.03;0.33;0.09;0.31;-0.35;-0.07;-0.24;-0.14;-0.05;0.15;0.15;0.12;-0.01;-0.06;-0.40;0.19;-0.09;0.20;0.06;-0.06;0.02;0.28;0.30;-1;0;0;0;0

10.1;-0.28;-0.27;-0.03;0.23;0.10;0.31;0.17;0.33;0.20;0.03;0.08;0.05;-0.10;-0.03;0.11;0.12;0.02;-0.14;0.02;-0.29;-0.33;-0.15;0.13;-0.18;0.18;0.48;0.04;0.01;0.21;-0.40;-0.02;-0.02;-0.37;0.44;-0.38;0.14;0.04;0.25;-0.03;0.33;0.09;0.31;-0.35;-0.07;-0.24;-0.14;-0.05;0.15;0.15;0.12;-0.01;-0.06;-0.40;0.19;-0.09;0.20;0.06;-0.06;0.02;0.28;-1;0;0;0;0

9.98;-0.12;-0.28;-0.27;-0.03;0.23;0.10;0.31;0.17;0.33;0.20;0.03;0.08;0.05;-0.10;-0.03;0.11;0.12;0.02;-0.14;0.02;-0.29;-0.33;-0.15;0.13;-0.18;0.18;0.48;0.04;0.01;0.21;-0.40;-0.02;-0.02;-0.37;0.44;-0.38;0.14;0.04;0.25;-0.03;0.33;0.09;0.31;-0.35;-0.07;-0.24;-0.14;-0.05;0.15;0.15;0.12;-0.01;-0.06;-0.40;0.19;-0.09;0.20;0.06;-0.06;0.02;-1;0;0;0;0

9.72;-0.26;-0.12;-0.28;-0.27;-0.03;0.23;0.10;0.31;0.17;0.33;0.20;0.03;0.08;0.05;-0.10;-0.03;0.11;0.12;0.02;-0.14;0.02;-0.29;-0.33;-0.15;0.13;-0.18;0.18;0.48;0.04;0.01;0.21;-0.40;-0.02;-0.02;-0.37;0.44;-0.38;0.14;0.04;0.25;-0.03;0.33;0.09;0.31;-0.35;-0.07;-0.24;-0.14;-0.05;0.15;0.15;0.12;-0.01;-0.06;-0.40;0.19;-0.09;0.20;0.06;-0.06;+1;0;0;0;0

9.8;0.08;-0.26;-0.12;-0.28;-0.27;-0.03;0.23;0.10;0.31;0.17;0.33;0.20;0.03;0.08;0.05;-0.10;-0.03;0.11;0.12;0.02;-0.14;0.02;-0.29;-0.33;-0.15;0.13;-0.18;0.18;0.48;0.04;0.01;0.21;-0.40;-0.02;-0.02;-0.37;0.44;-0.38;0.14;0.04;0.25;-0.03;0.33;0.09;0.31;-0.35;-0.07;-0.24;-0.14;-0.05;0.15;0.15;0.12;-0.01;-0.06;-0.40;0.19;-0.09;0.20;0.06;-1;0;0;0;0

9.45;-0.35;0.08;-0.26;-0.12;-0.28;-0.27;-0.03;0.23;0.10;0.31;0.17;0.33;0.20;0.03;0.08;0.05;-0.10;-0.03;0.11;0.12;0.02;-0.14;0.02;-0.29;-0.33;-0.15;0.13;-0.18;0.18;0.48;0.04;0.01;0.21;-0.40;-0.02;-0.02;-0.37;0.44;-0.38;0.14;0.04;0.25;-0.03;0.33;0.09;0.31;-0.35;-0.07;-0.24;-0.14;-0.05;0.15;0.15;0.12;-0.01;-0.06;-0.40;0.19;-0.09;0.20;-1;0;0;0;0

9.41;-0.04;-0.35;0.08;-0.26;-0.12;-0.28;-0.27;-0.03;0.23;0.10;0.31;0.17;0.33;0.20;0.03;0.08;0.05;-0.10;-0.03;0.11;0.12;0.02;-0.14;0.02;-0.29;-0.33;-0.15;0.13;-0.18;0.18;0.48;0.04;0.01;0.21;-0.40;-0.02;-0.02;-0.37;0.44;-0.38;0.14;0.04;0.25;-0.03;0.33;0.09;0.31;-0.35;-0.07;-0.24;-0.14;-0.05;0.15;0.15;0.12;-0.01;-0.06;-0.40;0.19;-0.09;-1;0;0;0;0

9.22;-0.19;-0.04;-0.35;0.08;-0.26;-0.12;-0.28;-0.27;-0.03;0.23;0.10;0.31;0.17;0.33;0.20;0.03;0.08;0.05;-0.10;-0.03;0.11;0.12;0.02;-0.14;0.02;-0.29;-0.33;-0.15;0.13;-0.18;0.18;0.48;0.04;0.01;0.21;-0.40;-0.02;-0.02;-0.37;0.44;-0.38;0.14;0.04;0.25;-0.03;0.33;0.09;0.31;-0.35;-0.07;-0.24;-0.14;-0.05;0.15;0.15;0.12;-0.01;-0.06;-0.40;0.19;-1;0;0;0;0

