96.19;3.69;0.50;-2.60;-1.54;-0.14;2.73;-0.45;-0.90;2.84;0.86;-0.30;0.09;-1.59;0.00;-0.89;-1;0;0;0;0

95.24;-0.95;3.69;0.50;-2.60;-1.54;-0.14;2.73;-0.45;-0.90;2.84;0.86;-0.30;0.09;-1.59;0.00;+1;0;0;0;0

95.61;0.37;-0.95;3.69;0.50;-2.60;-1.54;-0.14;2.73;-0.45;-0.90;2.84;0.86;-0.30;0.09;-1.59;+1;0;0;0;0

96.6;0.99;0.37;-0.95;3.69;0.50;-2.60;-1.54;-0.14;2.73;-0.45;-0.90;2.84;0.86;-0.30;0.09;+1;0;0;0;0

97;0.40;0.99;0.37;-0.95;3.69;0.50;-2.60;-1.54;-0.14;2.73;-0.45;-0.90;2.84;0.86;-0.30;+1;0;0;0;0

98.4;1.40;0.40;0.99;0.37;-0.95;3.69;0.50;-2.60;-1.54;-0.14;2.73;-0.45;-0.90;2.84;0.86;-1;0;0;0;0

98.05;-0.35;1.40;0.40;0.99;0.37;-0.95;3.69;0.50;-2.60;-1.54;-0.14;2.73;-0.45;-0.90;2.84;-1;0;0;0;0

97.7;-0.35;-0.35;1.40;0.40;0.99;0.37;-0.95;3.69;0.50;-2.60;-1.54;-0.14;2.73;-0.45;-0.90;-1;0;0;0;0

96.2;-1.50;-0.35;-0.35;1.40;0.40;0.99;0.37;-0.95;3.69;0.50;-2.60;-1.54;-0.14;2.73;-0.45;-1;0;0;0;0

92.5;-3.70;-1.50;-0.35;-0.35;1.40;0.40;0.99;0.37;-0.95;3.69;0.50;-2.60;-1.54;-0.14;2.73;-1;0;0;0;0

90.36;-2.14;-3.70;-1.50;-0.35;-0.35;1.40;0.40;0.99;0.37;-0.95;3.69;0.50;-2.60;-1.54;-0.14;-1;0;0;0;0

88;-2.36;-2.14;-3.70;-1.50;-0.35;-0.35;1.40;0.40;0.99;0.37;-0.95;3.69;0.50;-2.60;-1.54;-1;0;0;0;0

85.7;-2.30;-2.36;-2.14;-3.70;-1.50;-0.35;-0.35;1.40;0.40;0.99;0.37;-0.95;3.69;0.50;-2.60;+1;0;0;0;0

86.5;0.80;-2.30;-2.36;-2.14;-3.70;-1.50;-0.35;-0.35;1.40;0.40;0.99;0.37;-0.95;3.69;0.50;-1;0;0;0;0

42.69;-43.81;0.80;-2.30;-2.36;-2.14;-3.70;-1.50;-0.35;-0.35;1.40;0.40;0.99;0.37;-0.95;3.69;-1;0;0;0;0

42;-0.69;-43.81;0.80;-2.30;-2.36;-2.14;-3.70;-1.50;-0.35;-0.35;1.40;0.40;0.99;0.37;-0.95;+1;0;0;0;0

43;1.00;-0.69;-43.81;0.80;-2.30;-2.36;-2.14;-3.70;-1.50;-0.35;-0.35;1.40;0.40;0.99;0.37;+1;0;0;0;0

45.2;2.20;1.00;-0.69;-43.81;0.80;-2.30;-2.36;-2.14;-3.70;-1.50;-0.35;-0.35;1.40;0.40;0.99;+1;0;0;0;0

46.39;1.19;2.20;1.00;-0.69;-43.81;0.80;-2.30;-2.36;-2.14;-3.70;-1.50;-0.35;-0.35;1.40;0.40;-1;0;0;0;0

45.8;-0.59;1.19;2.20;1.00;-0.69;-43.81;0.80;-2.30;-2.36;-2.14;-3.70;-1.50;-0.35;-0.35;1.40;-1;0;0;0;0

44.3;-1.50;-0.59;1.19;2.20;1.00;-0.69;-43.81;0.80;-2.30;-2.36;-2.14;-3.70;-1.50;-0.35;-0.35;-1;0;0;0;0

44.04;-0.26;-1.50;-0.59;1.19;2.20;1.00;-0.69;-43.81;0.80;-2.30;-2.36;-2.14;-3.70;-1.50;-0.35;+1;0;0;0;0

44.79;0.75;-0.26;-1.50;-0.59;1.19;2.20;1.00;-0.69;-43.81;0.80;-2.30;-2.36;-2.14;-3.70;-1.50;-1;0;0;0;0

44;-0.79;0.75;-0.26;-1.50;-0.59;1.19;2.20;1.00;-0.69;-43.81;0.80;-2.30;-2.36;-2.14;-3.70;-1;0;0;0;0

43.15;-0.85;-0.79;0.75;-0.26;-1.50;-0.59;1.19;2.20;1.00;-0.69;-43.81;0.80;-2.30;-2.36;-2.14;-1;0;0;0;0

42.15;-1.00;-0.85;-0.79;0.75;-0.26;-1.50;-0.59;1.19;2.20;1.00;-0.69;-43.81;0.80;-2.30;-2.36;-1;0;0;0;0

40.2;-1.95;-1.00;-0.85;-0.79;0.75;-0.26;-1.50;-0.59;1.19;2.20;1.00;-0.69;-43.81;0.80;-2.30;-1;0;0;0;0

