15.56;15.78;15.4;15.76;18804;-0.26;0.22;0.16;-0.08;-0.38;0.03;-0.03;0.61;0.11;-0.30;0.18;-0.20;-0.27;-0.07;-0.25;-0.12;0.43;-0.10;0.08;-0.40;-0.10;-0.15;-0.05;0.35;-0.15;-0.02;-0.18;0.20;-0.05;0.25;-0.02;-0.17;0.01;-0.38;0.19;-0.42;-0.28;0.28;0.71;0.24;-0.11;-0.41;0.01;0.33;0.43;-0.06;-0.22;0.20;-0.03;0.30;0.05;-0.15;0.45;0.09;0.06;-0.15;-0.50;0.15;-0.80;0.30;-1;0;0;0;0

15.25;15.43;14.94;15.31;41532;-0.31;-0.26;0.22;0.16;-0.08;-0.38;0.03;-0.03;0.61;0.11;-0.30;0.18;-0.20;-0.27;-0.07;-0.25;-0.12;0.43;-0.10;0.08;-0.40;-0.10;-0.15;-0.05;0.35;-0.15;-0.02;-0.18;0.20;-0.05;0.25;-0.02;-0.17;0.01;-0.38;0.19;-0.42;-0.28;0.28;0.71;0.24;-0.11;-0.41;0.01;0.33;0.43;-0.06;-0.22;0.20;-0.03;0.30;0.05;-0.15;0.45;0.09;0.06;-0.15;-0.50;0.15;-0.80;-1;0;0;0;0

14.93;15.32;14.91;15.01;40338;-0.32;-0.31;-0.26;0.22;0.16;-0.08;-0.38;0.03;-0.03;0.61;0.11;-0.30;0.18;-0.20;-0.27;-0.07;-0.25;-0.12;0.43;-0.10;0.08;-0.40;-0.10;-0.15;-0.05;0.35;-0.15;-0.02;-0.18;0.20;-0.05;0.25;-0.02;-0.17;0.01;-0.38;0.19;-0.42;-0.28;0.28;0.71;0.24;-0.11;-0.41;0.01;0.33;0.43;-0.06;-0.22;0.20;-0.03;0.30;0.05;-0.15;0.45;0.09;0.06;-0.15;-0.50;0.15;-1;0;0;0;0

14.15;15.06;13.5;14.9;64700;-0.78;-0.32;-0.31;-0.26;0.22;0.16;-0.08;-0.38;0.03;-0.03;0.61;0.11;-0.30;0.18;-0.20;-0.27;-0.07;-0.25;-0.12;0.43;-0.10;0.08;-0.40;-0.10;-0.15;-0.05;0.35;-0.15;-0.02;-0.18;0.20;-0.05;0.25;-0.02;-0.17;0.01;-0.38;0.19;-0.42;-0.28;0.28;0.71;0.24;-0.11;-0.41;0.01;0.33;0.43;-0.06;-0.22;0.20;-0.03;0.30;0.05;-0.15;0.45;0.09;0.06;-0.15;-0.50;+1;0;0;0;0

14.45;14.45;13.65;14.15;32672;0.30;-0.78;-0.32;-0.31;-0.26;0.22;0.16;-0.08;-0.38;0.03;-0.03;0.61;0.11;-0.30;0.18;-0.20;-0.27;-0.07;-0.25;-0.12;0.43;-0.10;0.08;-0.40;-0.10;-0.15;-0.05;0.35;-0.15;-0.02;-0.18;0.20;-0.05;0.25;-0.02;-0.17;0.01;-0.38;0.19;-0.42;-0.28;0.28;0.71;0.24;-0.11;-0.41;0.01;0.33;0.43;-0.06;-0.22;0.20;-0.03;0.30;0.05;-0.15;0.45;0.09;0.06;-0.15;+1;0;0;0;0

