5.85;0.25;-0.25;-0.08;-0.07;-0.24;-0.01;-0.08;-0.19;0.21;0.32;-0.13;-0.33;-0.05;-0.01;0.13;-0.12;0.13;0.37;0.20;-0.25;0.15;0.26;-0.06;0.01;0.03;-0.01;-0.08;-0.29;-0.06;-0.32;0.04;0.37;0.00;-0.07;0.33;0.03;0.04;-0.23;-0.34;-0.15;-0.25;-0.15;0.23;0.32;0.06;-0.14;-0.12;-0.09;0.22;0.06;-0.06;-0.33;-0.25;0.26;0.17;-0.36;-0.63;-0.04;-0.10;0.20;0.27;0.13;-0.12;0.24;0.02;0.00;-0.08;0.14;0.17;-0.22;0.11;-0.26;0.08;-0.12;-0.29;-0.27;0.50;0.24;0.15;0.29;+1;0;0;0;0

5.94;0.09;0.25;-0.25;-0.08;-0.07;-0.24;-0.01;-0.08;-0.19;0.21;0.32;-0.13;-0.33;-0.05;-0.01;0.13;-0.12;0.13;0.37;0.20;-0.25;0.15;0.26;-0.06;0.01;0.03;-0.01;-0.08;-0.29;-0.06;-0.32;0.04;0.37;0.00;-0.07;0.33;0.03;0.04;-0.23;-0.34;-0.15;-0.25;-0.15;0.23;0.32;0.06;-0.14;-0.12;-0.09;0.22;0.06;-0.06;-0.33;-0.25;0.26;0.17;-0.36;-0.63;-0.04;-0.10;0.20;0.27;0.13;-0.12;0.24;0.02;0.00;-0.08;0.14;0.17;-0.22;0.11;-0.26;0.08;-0.12;-0.29;-0.27;0.50;0.24;0.15;+1;0;0;0;0

6.05;0.11;0.09;0.25;-0.25;-0.08;-0.07;-0.24;-0.01;-0.08;-0.19;0.21;0.32;-0.13;-0.33;-0.05;-0.01;0.13;-0.12;0.13;0.37;0.20;-0.25;0.15;0.26;-0.06;0.01;0.03;-0.01;-0.08;-0.29;-0.06;-0.32;0.04;0.37;0.00;-0.07;0.33;0.03;0.04;-0.23;-0.34;-0.15;-0.25;-0.15;0.23;0.32;0.06;-0.14;-0.12;-0.09;0.22;0.06;-0.06;-0.33;-0.25;0.26;0.17;-0.36;-0.63;-0.04;-0.10;0.20;0.27;0.13;-0.12;0.24;0.02;0.00;-0.08;0.14;0.17;-0.22;0.11;-0.26;0.08;-0.12;-0.29;-0.27;0.50;0.24;+1;0;0;0;0

6.13;0.08;0.11;0.09;0.25;-0.25;-0.08;-0.07;-0.24;-0.01;-0.08;-0.19;0.21;0.32;-0.13;-0.33;-0.05;-0.01;0.13;-0.12;0.13;0.37;0.20;-0.25;0.15;0.26;-0.06;0.01;0.03;-0.01;-0.08;-0.29;-0.06;-0.32;0.04;0.37;0.00;-0.07;0.33;0.03;0.04;-0.23;-0.34;-0.15;-0.25;-0.15;0.23;0.32;0.06;-0.14;-0.12;-0.09;0.22;0.06;-0.06;-0.33;-0.25;0.26;0.17;-0.36;-0.63;-0.04;-0.10;0.20;0.27;0.13;-0.12;0.24;0.02;0.00;-0.08;0.14;0.17;-0.22;0.11;-0.26;0.08;-0.12;-0.29;-0.27;0.50;-1;0;0;0;0

6.08;-0.05;0.08;0.11;0.09;0.25;-0.25;-0.08;-0.07;-0.24;-0.01;-0.08;-0.19;0.21;0.32;-0.13;-0.33;-0.05;-0.01;0.13;-0.12;0.13;0.37;0.20;-0.25;0.15;0.26;-0.06;0.01;0.03;-0.01;-0.08;-0.29;-0.06;-0.32;0.04;0.37;0.00;-0.07;0.33;0.03;0.04;-0.23;-0.34;-0.15;-0.25;-0.15;0.23;0.32;0.06;-0.14;-0.12;-0.09;0.22;0.06;-0.06;-0.33;-0.25;0.26;0.17;-0.36;-0.63;-0.04;-0.10;0.20;0.27;0.13;-0.12;0.24;0.02;0.00;-0.08;0.14;0.17;-0.22;0.11;-0.26;0.08;-0.12;-0.29;-0.27;+1;0;0;0;0

6.15;0.07;-0.05;0.08;0.11;0.09;0.25;-0.25;-0.08;-0.07;-0.24;-0.01;-0.08;-0.19;0.21;0.32;-0.13;-0.33;-0.05;-0.01;0.13;-0.12;0.13;0.37;0.20;-0.25;0.15;0.26;-0.06;0.01;0.03;-0.01;-0.08;-0.29;-0.06;-0.32;0.04;0.37;0.00;-0.07;0.33;0.03;0.04;-0.23;-0.34;-0.15;-0.25;-0.15;0.23;0.32;0.06;-0.14;-0.12;-0.09;0.22;0.06;-0.06;-0.33;-0.25;0.26;0.17;-0.36;-0.63;-0.04;-0.10;0.20;0.27;0.13;-0.12;0.24;0.02;0.00;-0.08;0.14;0.17;-0.22;0.11;-0.26;0.08;-0.12;-0.29;-1;0;0;0;0

6.14;-0.01;0.07;-0.05;0.08;0.11;0.09;0.25;-0.25;-0.08;-0.07;-0.24;-0.01;-0.08;-0.19;0.21;0.32;-0.13;-0.33;-0.05;-0.01;0.13;-0.12;0.13;0.37;0.20;-0.25;0.15;0.26;-0.06;0.01;0.03;-0.01;-0.08;-0.29;-0.06;-0.32;0.04;0.37;0.00;-0.07;0.33;0.03;0.04;-0.23;-0.34;-0.15;-0.25;-0.15;0.23;0.32;0.06;-0.14;-0.12;-0.09;0.22;0.06;-0.06;-0.33;-0.25;0.26;0.17;-0.36;-0.63;-0.04;-0.10;0.20;0.27;0.13;-0.12;0.24;0.02;0.00;-0.08;0.14;0.17;-0.22;0.11;-0.26;0.08;-0.12;-1;0;0;0;0

