39.25;-0.45;2.00;-0.10;1.60;-0.80;-1.85;-1.36;1.21;0.80;0.60;-1;0;0;0;0

37.8;-1.45;-0.45;2.00;-0.10;1.60;-0.80;-1.85;-1.36;1.21;0.80;-1;0;0;0;0

36.2;-1.60;-1.45;-0.45;2.00;-0.10;1.60;-0.80;-1.85;-1.36;1.21;+1;0;0;0;0

37.2;1.00;-1.60;-1.45;-0.45;2.00;-0.10;1.60;-0.80;-1.85;-1.36;-1;0;0;0;0

36.6;-0.60;1.00;-1.60;-1.45;-0.45;2.00;-0.10;1.60;-0.80;-1.85;+1;0;0;0;0

37.4;0.80;-0.60;1.00;-1.60;-1.45;-0.45;2.00;-0.10;1.60;-0.80;-1;0;0;0;0

37;-0.40;0.80;-0.60;1.00;-1.60;-1.45;-0.45;2.00;-0.10;1.60;-1;0;0;0;0

35.8;-1.20;-0.40;0.80;-0.60;1.00;-1.60;-1.45;-0.45;2.00;-0.10;+1;0;0;0;0

36.02;0.22;-1.20;-0.40;0.80;-0.60;1.00;-1.60;-1.45;-0.45;2.00;-1;0;0;0;0

35;-1.02;0.22;-1.20;-0.40;0.80;-0.60;1.00;-1.60;-1.45;-0.45;+1;0;0;0;0

35.11;0.11;-1.02;0.22;-1.20;-0.40;0.80;-0.60;1.00;-1.60;-1.45;-1;0;0;0;0

34.1;-1.01;0.11;-1.02;0.22;-1.20;-0.40;0.80;-0.60;1.00;-1.60;+1;0;0;0;0

34.3;0.20;-1.01;0.11;-1.02;0.22;-1.20;-0.40;0.80;-0.60;1.00;+1;0;0;0;0

34.6;0.30;0.20;-1.01;0.11;-1.02;0.22;-1.20;-0.40;0.80;-0.60;-1;0;0;0;0

33.43;-1.17;0.30;0.20;-1.01;0.11;-1.02;0.22;-1.20;-0.40;0.80;-1;0;0;0;0

32.5;-0.93;-1.17;0.30;0.20;-1.01;0.11;-1.02;0.22;-1.20;-0.40;-1;0;0;0;0

31.81;-0.69;-0.93;-1.17;0.30;0.20;-1.01;0.11;-1.02;0.22;-1.20;+1;0;0;0;0

32.7;0.89;-0.69;-0.93;-1.17;0.30;0.20;-1.01;0.11;-1.02;0.22;-1;0;0;0;0

32.5;-0.20;0.89;-0.69;-0.93;-1.17;0.30;0.20;-1.01;0.11;-1.02;+1;0;0;0;0

32.55;0.05;-0.20;0.89;-0.69;-0.93;-1.17;0.30;0.20;-1.01;0.11;-1;0;0;0;0

32.02;-0.53;0.05;-0.20;0.89;-0.69;-0.93;-1.17;0.30;0.20;-1.01;+1;0;0;0;0

32.6;0.58;-0.53;0.05;-0.20;0.89;-0.69;-0.93;-1.17;0.30;0.20;+1;0;0;0;0

33;0.40;0.58;-0.53;0.05;-0.20;0.89;-0.69;-0.93;-1.17;0.30;+1;0;0;0;0

33.5;0.50;0.40;0.58;-0.53;0.05;-0.20;0.89;-0.69;-0.93;-1.17;-1;0;0;0;0

32;-1.50;0.50;0.40;0.58;-0.53;0.05;-0.20;0.89;-0.69;-0.93;+1;0;0;0;0

32.55;0.55;-1.50;0.50;0.40;0.58;-0.53;0.05;-0.20;0.89;-0.69;-1;0;0;0;0

31.97;-0.58;0.55;-1.50;0.50;0.40;0.58;-0.53;0.05;-0.20;0.89;+1;0;0;0;0

32;0.03;-0.58;0.55;-1.50;0.50;0.40;0.58;-0.53;0.05;-0.20;-1;0;0;0;0

31.42;-0.58;0.03;-0.58;0.55;-1.50;0.50;0.40;0.58;-0.53;0.05;-1;0;0;0;0

29.9;-1.52;-0.58;0.03;-0.58;0.55;-1.50;0.50;0.40;0.58;-0.53;-1;0;0;0;0

29.9;0.00;-1.52;-0.58;0.03;-0.58;0.55;-1.50;0.50;0.40;0.58;+1;0;0;0;0

30;0.10;0.00;-1.52;-0.58;0.03;-0.58;0.55;-1.50;0.50;0.40;+1;0;0;0;0

32.1;2.10;0.10;0.00;-1.52;-0.58;0.03;-0.58;0.55;-1.50;0.50;-1;0;0;0;0

32;-0.10;2.10;0.10;0.00;-1.52;-0.58;0.03;-0.58;0.55;-1.50;-1;0;0;0;0

31;-1.00;-0.10;2.10;0.10;0.00;-1.52;-0.58;0.03;-0.58;0.55;-1;0;0;0;0

30.21;-0.79;-1.00;-0.10;2.10;0.10;0.00;-1.52;-0.58;0.03;-0.58;+1;0;0;0;0

30.71;0.50;-0.79;-1.00;-0.10;2.10;0.10;0.00;-1.52;-0.58;0.03;-1;0;0;0;0

30;-0.71;0.50;-0.79;-1.00;-0.10;2.10;0.10;0.00;-1.52;-0.58;+1;0;0;0;0

30.5;0.50;-0.71;0.50;-0.79;-1.00;-0.10;2.10;0.10;0.00;-1.52;+1;0;0;0;0

31.41;0.91;0.50;-0.71;0.50;-0.79;-1.00;-0.10;2.10;0.10;0.00;+1;0;0;0;0

32;0.59;0.91;0.50;-0.71;0.50;-0.79;-1.00;-0.10;2.10;0.10;-1;0;0;0;0

31.9;-0.10;0.59;0.91;0.50;-0.71;0.50;-0.79;-1.00;-0.10;2.10;+1;0;0;0;0

32.21;0.31;-0.10;0.59;0.91;0.50;-0.71;0.50;-0.79;-1.00;-0.10;-1;0;0;0;0

32.01;-0.20;0.31;-0.10;0.59;0.91;0.50;-0.71;0.50;-0.79;-1.00;+1;0;0;0;0

32.2;0.19;-0.20;0.31;-0.10;0.59;0.91;0.50;-0.71;0.50;-0.79;+1;0;0;0;0

32.4;0.20;0.19;-0.20;0.31;-0.10;0.59;0.91;0.50;-0.71;0.50;+1;0;0;0;0

33;0.60;0.20;0.19;-0.20;0.31;-0.10;0.59;0.91;0.50;-0.71;+1;0;0;0;0

35;2.00;0.60;0.20;0.19;-0.20;0.31;-0.10;0.59;0.91;0.50;-1;0;0;0;0

35;0.00;2.00;0.60;0.20;0.19;-0.20;0.31;-0.10;0.59;0.91;+1;0;0;0;0

35.11;0.11;0.00;2.00;0.60;0.20;0.19;-0.20;0.31;-0.10;0.59;-1;0;0;0;0

34.56;-0.55;0.11;0.00;2.00;0.60;0.20;0.19;-0.20;0.31;-0.10;-1;0;0;0;0

34.25;-0.31;-0.55;0.11;0.00;2.00;0.60;0.20;0.19;-0.20;0.31;+1;0;0;0;0

37.11;2.86;-0.31;-0.55;0.11;0.00;2.00;0.60;0.20;0.19;-0.20;-1;0;0;0;0

35.9;-1.21;2.86;-0.31;-0.55;0.11;0.00;2.00;0.60;0.20;0.19;+1;0;0;0;0

36.6;0.70;-1.21;2.86;-0.31;-0.55;0.11;0.00;2.00;0.60;0.20;-1;0;0;0;0

35.83;-0.77;0.70;-1.21;2.86;-0.31;-0.55;0.11;0.00;2.00;0.60;-1;0;0;0;0

35.6;-0.23;-0.77;0.70;-1.21;2.86;-0.31;-0.55;0.11;0.00;2.00;+1;0;0;0;0

