87.8;1;0.370023;-0.442623;-1;+1;-1;-1;-1

85.5;-0.604215;1;0.370023;+1;+1;-1;-1;-1

86.2;0.0983606;-0.604215;1;+1;-1;+1;-1;-1

88;0.355972;0.0983606;-0.604215;-1;+1;-1;-1;-1

87.5;-0.18267;0.355972;0.0983606;+1;+1;-1;-1;-1

89;0.285714;-0.18267;0.355972;-1;-1;+1;-1;-1

88.5;-0.18267;0.285714;-0.18267;-1;+1;-1;-1;-1

86.8;-0.4637;-0.18267;0.285714;-1;-1;+1;-1;-1

86.2;-0.206089;-0.4637;-0.18267;-1;-1;+1;-1;-1

83.6;-0.674473;-0.206089;-0.4637;-1;-1;-1;-1;-1

81;-0.674473;-0.674473;-0.206089;-1;-1;+1;-1;-1

79;-0.533958;-0.674473;-0.674473;-1;-1;+1;-1;-1

78.39;-0.208431;-0.533958;-0.674473;-1;-1;+1;-1;-1

77.5;-0.274005;-0.208431;-0.533958;-1;-1;+1;-1;-1

75.5;-0.533958;-0.274005;-0.208431;-1;-1;-1;-1;-1

74.5;-0.299766;-0.533958;-0.274005;-1;-1;+1;-1;-1

74.04;-0.173302;-0.299766;-0.533958;+1;-1;+1;-1;-1

76.26;0.454333;-0.173302;-0.299766;+1;-1;-1;-1;-1

78.99;0.57377;0.454333;-0.173302;-1;+1;-1;-1;-1

77.65;-0.379391;0.57377;0.454333;-1;+1;-1;-1;-1

74.71;-0.754098;-0.379391;0.57377;+1;-1;+1;-1;-1

75;0.0023419;-0.754098;-0.379391;+1;-1;+1;-1;-1

77;0.40281;0.0023419;-0.754098;-1;+1;-1;-1;-1

75.5;-0.416862;0.40281;0.0023419;-1;+1;-1;-1;-1

73.9;-0.440281;-0.416862;0.40281;-1;-1;+1;-1;-1

72;-0.510539;-0.440281;-0.416862;-1;-1;+1;-1;-1

68.01;-1;-0.510539;-0.440281;+1;-1;-1;-1;-1

68.5;0.0491803;-1;-0.510539;+1;-1;+1;-1;-1

68.85;0.0163934;0.0491803;-1;-1;+1;+1;-1;-1

66;-0.733021;0.0163934;0.0491803;+1;+1;-1;-1;-1

66.63;0.0819672;-0.733021;0.0163934;-1;-1;+1;-1;-1

65.1;-0.423888;0.0819672;-0.733021;+1;+1;+1;-1;-1

67.75;0.555035;-0.423888;0.0819672;-1;-1;-1;-1;-1

67;-0.241218;0.555035;-0.423888;-1;+1;-1;-1;-1

67;-0.0655738;-0.241218;0.555035;+1;-1;+1;-1;-1

71;0.871194;-0.0655738;-0.241218;-1;-1;-1;-1;-1

70.6;-0.159251;0.871194;-0.0655738;-1;+1;-1;-1;-1

70.05;-0.194379;-0.159251;0.871194;-1;-1;+1;-1;-1

