28.38;29.19;28.14;29;9405;-0.22;1.00;0.88;-0.68;-0.21;0.41;0.46;-0.76;-0.25;0.55;0.70;-0.62;0.31;-0.67;1.00;-0.37;-0.21;0.47;0.89;0.62;0.68;-0.25;-0.30;0.85;0.10;0.30;0.26;-0.38;-0.46;0.48;1.05;-0.28;0.02;-0.09;-0.90;1.00;0.21;-0.09;-0.36;0.29;+1;0;0;0;0

28.8;29.27;28.5;28.94;16104;0.42;-0.22;1.00;0.88;-0.68;-0.21;0.41;0.46;-0.76;-0.25;0.55;0.70;-0.62;0.31;-0.67;1.00;-0.37;-0.21;0.47;0.89;0.62;0.68;-0.25;-0.30;0.85;0.10;0.30;0.26;-0.38;-0.46;0.48;1.05;-0.28;0.02;-0.09;-0.90;1.00;0.21;-0.09;-0.36;-1;0;0;0;0

26.75;27.34;26.64;27.05;10774;-2.05;0.42;-0.22;1.00;0.88;-0.68;-0.21;0.41;0.46;-0.76;-0.25;0.55;0.70;-0.62;0.31;-0.67;1.00;-0.37;-0.21;0.47;0.89;0.62;0.68;-0.25;-0.30;0.85;0.10;0.30;0.26;-0.38;-0.46;0.48;1.05;-0.28;0.02;-0.09;-0.90;1.00;0.21;-0.09;+1;0;0;0;0

27;27.29;26.61;27.08;19503;0.25;-2.05;0.42;-0.22;1.00;0.88;-0.68;-0.21;0.41;0.46;-0.76;-0.25;0.55;0.70;-0.62;0.31;-0.67;1.00;-0.37;-0.21;0.47;0.89;0.62;0.68;-0.25;-0.30;0.85;0.10;0.30;0.26;-0.38;-0.46;0.48;1.05;-0.28;0.02;-0.09;-0.90;1.00;0.21;-1;0;0;0;0

26.4;27.3;26.16;27.3;8514;-0.60;0.25;-2.05;0.42;-0.22;1.00;0.88;-0.68;-0.21;0.41;0.46;-0.76;-0.25;0.55;0.70;-0.62;0.31;-0.67;1.00;-0.37;-0.21;0.47;0.89;0.62;0.68;-0.25;-0.30;0.85;0.10;0.30;0.26;-0.38;-0.46;0.48;1.05;-0.28;0.02;-0.09;-0.90;1.00;+1;0;0;0;0

26.9;26.91;26.3;26.7;7268;0.50;-0.60;0.25;-2.05;0.42;-0.22;1.00;0.88;-0.68;-0.21;0.41;0.46;-0.76;-0.25;0.55;0.70;-0.62;0.31;-0.67;1.00;-0.37;-0.21;0.47;0.89;0.62;0.68;-0.25;-0.30;0.85;0.10;0.30;0.26;-0.38;-0.46;0.48;1.05;-0.28;0.02;-0.09;-0.90;-1;0;0;0;0

26.32;26.8;26.17;26.8;6329;-0.58;0.50;-0.60;0.25;-2.05;0.42;-0.22;1.00;0.88;-0.68;-0.21;0.41;0.46;-0.76;-0.25;0.55;0.70;-0.62;0.31;-0.67;1.00;-0.37;-0.21;0.47;0.89;0.62;0.68;-0.25;-0.30;0.85;0.10;0.30;0.26;-0.38;-0.46;0.48;1.05;-0.28;0.02;-0.09;-1;0;0;0;0

