101.4;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1.80;2.20;-0.90;0.80;-1.38;0.88;5.20;-0.40;-1.30;-2.61;-2.39;0.20;-4.50;-4.20;-1.31;-1;0;0;0;0

101;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1.80;2.20;-0.90;0.80;-1.38;0.88;5.20;-0.40;-1.30;-2.61;-2.39;0.20;-4.50;-4.20;+1;0;0;0;0

102.79;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1.80;2.20;-0.90;0.80;-1.38;0.88;5.20;-0.40;-1.30;-2.61;-2.39;0.20;-4.50;+1;0;0;0;0

105.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1.80;2.20;-0.90;0.80;-1.38;0.88;5.20;-0.40;-1.30;-2.61;-2.39;0.20;-1;0;0;0;0

105;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1.80;2.20;-0.90;0.80;-1.38;0.88;5.20;-0.40;-1.30;-2.61;-2.39;-1;0;0;0;0

103.8;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1.80;2.20;-0.90;0.80;-1.38;0.88;5.20;-0.40;-1.30;-2.61;-1;0;0;0;0

101.8;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1.80;2.20;-0.90;0.80;-1.38;0.88;5.20;-0.40;-1.30;-1;0;0;0;0

