25.73;25.89;25.5;25.71;210207;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;-0.19;0.29;0.20;0.23;-0.18;0.30;-0.26;-0.24;0.11;0.05;-0.43;-0.53;0.12;0.06;0.61;-1;0;0;0;0

25.45;25.78;25.43;25.7;179803;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;-0.19;0.29;0.20;0.23;-0.18;0.30;-0.26;-0.24;0.11;0.05;-0.43;-0.53;0.12;0.06;-1;0;0;0;0

25.32;25.63;25.2;25.59;256884;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;-0.19;0.29;0.20;0.23;-0.18;0.30;-0.26;-0.24;0.11;0.05;-0.43;-0.53;0.12;-1;0;0;0;0

24.47;25.34;24.24;25.19;312539;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;-0.19;0.29;0.20;0.23;-0.18;0.30;-0.26;-0.24;0.11;0.05;-0.43;-0.53;-1;0;0;0;0

24.21;24.89;24.14;24.8;232808;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;-0.19;0.29;0.20;0.23;-0.18;0.30;-0.26;-0.24;0.11;0.05;-0.43;+1;0;0;0;0

24.6;24.69;24.2;24.24;186945;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;-0.19;0.29;0.20;0.23;-0.18;0.30;-0.26;-0.24;0.11;0.05;+1;0;0;0;0

24.68;24.86;24.51;24.72;127022;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;-0.19;0.29;0.20;0.23;-0.18;0.30;-0.26;-0.24;0.11;-1;0;0;0;0

24.01;24.58;24.01;24.55;223341;-0.67;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;-0.19;0.29;0.20;0.23;-0.18;0.30;-0.26;-0.24;-1;0;0;0;0

23.68;23.92;23.43;23.6;236629;-0.33;-0.67;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;-0.19;0.29;0.20;0.23;-0.18;0.30;-0.26;-1;0;0;0;0

23.52;23.85;23.48;23.77;202898;-0.16;-0.33;-0.67;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;-0.19;0.29;0.20;0.23;-0.18;0.30;+1;0;0;0;0

23.94;24.29;23.33;23.43;302132;0.42;-0.16;-0.33;-0.67;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;-0.19;0.29;0.20;0.23;-0.18;+1;0;0;0;0

24.4;24.47;23.75;23.99;203877;0.46;0.42;-0.16;-0.33;-0.67;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;-0.19;0.29;0.20;0.23;-1;0;0;0;0

24.1;24.68;24.1;24.47;188941;-0.30;0.46;0.42;-0.16;-0.33;-0.67;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;-0.19;0.29;0.20;-1;0;0;0;0

23.64;24.39;23.64;24.25;178845;-0.46;-0.30;0.46;0.42;-0.16;-0.33;-0.67;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;-0.19;0.29;+1;0;0;0;0

