19.3;-0.20;-1.04;0.19;0.15;0.00;0.16;0.22;0.22;0.48;-0.34;0.27;-0.20;-0.21;-0.40;0.40;-0.40;0.00;-0.10;0.58;-0.68;+1;0;0;0;0

19.4;0.10;-0.20;-1.04;0.19;0.15;0.00;0.16;0.22;0.22;0.48;-0.34;0.27;-0.20;-0.21;-0.40;0.40;-0.40;0.00;-0.10;0.58;-1;0;0;0;0

19.14;-0.26;0.10;-0.20;-1.04;0.19;0.15;0.00;0.16;0.22;0.22;0.48;-0.34;0.27;-0.20;-0.21;-0.40;0.40;-0.40;0.00;-0.10;+1;0;0;0;0

19.2;0.06;-0.26;0.10;-0.20;-1.04;0.19;0.15;0.00;0.16;0.22;0.22;0.48;-0.34;0.27;-0.20;-0.21;-0.40;0.40;-0.40;0.00;+1;0;0;0;0

19.6;0.40;0.06;-0.26;0.10;-0.20;-1.04;0.19;0.15;0.00;0.16;0.22;0.22;0.48;-0.34;0.27;-0.20;-0.21;-0.40;0.40;-0.40;-1;0;0;0;0

19.6;0.00;0.40;0.06;-0.26;0.10;-0.20;-1.04;0.19;0.15;0.00;0.16;0.22;0.22;0.48;-0.34;0.27;-0.20;-0.21;-0.40;0.40;+1;0;0;0;0

19.8;0.20;0.00;0.40;0.06;-0.26;0.10;-0.20;-1.04;0.19;0.15;0.00;0.16;0.22;0.22;0.48;-0.34;0.27;-0.20;-0.21;-0.40;+1;0;0;0;0

19.91;0.11;0.20;0.00;0.40;0.06;-0.26;0.10;-0.20;-1.04;0.19;0.15;0.00;0.16;0.22;0.22;0.48;-0.34;0.27;-0.20;-0.21;-1;0;0;0;0

19.2;-0.71;0.11;0.20;0.00;0.40;0.06;-0.26;0.10;-0.20;-1.04;0.19;0.15;0.00;0.16;0.22;0.22;0.48;-0.34;0.27;-0.20;-1;0;0;0;0

18.5;-0.70;-0.71;0.11;0.20;0.00;0.40;0.06;-0.26;0.10;-0.20;-1.04;0.19;0.15;0.00;0.16;0.22;0.22;0.48;-0.34;0.27;+1;0;0;0;0

19;0.50;-0.70;-0.71;0.11;0.20;0.00;0.40;0.06;-0.26;0.10;-0.20;-1.04;0.19;0.15;0.00;0.16;0.22;0.22;0.48;-0.34;-1;0;0;0;0

19;0.00;0.50;-0.70;-0.71;0.11;0.20;0.00;0.40;0.06;-0.26;0.10;-0.20;-1.04;0.19;0.15;0.00;0.16;0.22;0.22;0.48;-1;0;0;0;0

18.71;-0.29;0.00;0.50;-0.70;-0.71;0.11;0.20;0.00;0.40;0.06;-0.26;0.10;-0.20;-1.04;0.19;0.15;0.00;0.16;0.22;0.22;+1;0;0;0;0

18.9;0.19;-0.29;0.00;0.50;-0.70;-0.71;0.11;0.20;0.00;0.40;0.06;-0.26;0.10;-0.20;-1.04;0.19;0.15;0.00;0.16;0.22;+1;0;0;0;0

19.15;0.25;0.19;-0.29;0.00;0.50;-0.70;-0.71;0.11;0.20;0.00;0.40;0.06;-0.26;0.10;-0.20;-1.04;0.19;0.15;0.00;0.16;-1;0;0;0;0

18.6;-0.55;0.25;0.19;-0.29;0.00;0.50;-0.70;-0.71;0.11;0.20;0.00;0.40;0.06;-0.26;0.10;-0.20;-1.04;0.19;0.15;0.00;+1;0;0;0;0

18.75;0.15;-0.55;0.25;0.19;-0.29;0.00;0.50;-0.70;-0.71;0.11;0.20;0.00;0.40;0.06;-0.26;0.10;-0.20;-1.04;0.19;0.15;+1;0;0;0;0

19.06;0.31;0.15;-0.55;0.25;0.19;-0.29;0.00;0.50;-0.70;-0.71;0.11;0.20;0.00;0.40;0.06;-0.26;0.10;-0.20;-1.04;0.19;+1;0;0;0;0

19.4;0.34;0.31;0.15;-0.55;0.25;0.19;-0.29;0.00;0.50;-0.70;-0.71;0.11;0.20;0.00;0.40;0.06;-0.26;0.10;-0.20;-1.04;-1;0;0;0;0

19;-0.40;0.34;0.31;0.15;-0.55;0.25;0.19;-0.29;0.00;0.50;-0.70;-0.71;0.11;0.20;0.00;0.40;0.06;-0.26;0.10;-0.20;+1;0;0;0;0

19.4;0.40;-0.40;0.34;0.31;0.15;-0.55;0.25;0.19;-0.29;0.00;0.50;-0.70;-0.71;0.11;0.20;0.00;0.40;0.06;-0.26;0.10;-1;0;0;0;0

18.95;-0.45;0.40;-0.40;0.34;0.31;0.15;-0.55;0.25;0.19;-0.29;0.00;0.50;-0.70;-0.71;0.11;0.20;0.00;0.40;0.06;-0.26;+1;0;0;0;0

19.5;0.55;-0.45;0.40;-0.40;0.34;0.31;0.15;-0.55;0.25;0.19;-0.29;0.00;0.50;-0.70;-0.71;0.11;0.20;0.00;0.40;0.06;+1;0;0;0;0

19.66;0.16;0.55;-0.45;0.40;-0.40;0.34;0.31;0.15;-0.55;0.25;0.19;-0.29;0.00;0.50;-0.70;-0.71;0.11;0.20;0.00;0.40;-1;0;0;0;0

19.24;-0.42;0.16;0.55;-0.45;0.40;-0.40;0.34;0.31;0.15;-0.55;0.25;0.19;-0.29;0.00;0.50;-0.70;-0.71;0.11;0.20;0.00;-1;0;0;0;0

18.49;-0.75;-0.42;0.16;0.55;-0.45;0.40;-0.40;0.34;0.31;0.15;-0.55;0.25;0.19;-0.29;0.00;0.50;-0.70;-0.71;0.11;0.20;+1;0;0;0;0

18.75;0.26;-0.75;-0.42;0.16;0.55;-0.45;0.40;-0.40;0.34;0.31;0.15;-0.55;0.25;0.19;-0.29;0.00;0.50;-0.70;-0.71;0.11;+1;0;0;0;0

19.21;0.46;0.26;-0.75;-0.42;0.16;0.55;-0.45;0.40;-0.40;0.34;0.31;0.15;-0.55;0.25;0.19;-0.29;0.00;0.50;-0.70;-0.71;+1;0;0;0;0

19.41;0.20;0.46;0.26;-0.75;-0.42;0.16;0.55;-0.45;0.40;-0.40;0.34;0.31;0.15;-0.55;0.25;0.19;-0.29;0.00;0.50;-0.70;+1;0;0;0;0

19.5;0.09;0.20;0.46;0.26;-0.75;-0.42;0.16;0.55;-0.45;0.40;-0.40;0.34;0.31;0.15;-0.55;0.25;0.19;-0.29;0.00;0.50;-1;0;0;0;0

18.96;-0.54;0.09;0.20;0.46;0.26;-0.75;-0.42;0.16;0.55;-0.45;0.40;-0.40;0.34;0.31;0.15;-0.55;0.25;0.19;-0.29;0.00;-1;0;0;0;0

18.7;-0.26;-0.54;0.09;0.20;0.46;0.26;-0.75;-0.42;0.16;0.55;-0.45;0.40;-0.40;0.34;0.31;0.15;-0.55;0.25;0.19;-0.29;+1;0;0;0;0

19.5;0.80;-0.26;-0.54;0.09;0.20;0.46;0.26;-0.75;-0.42;0.16;0.55;-0.45;0.40;-0.40;0.34;0.31;0.15;-0.55;0.25;0.19;-1;0;0;0;0

19.25;-0.25;0.80;-0.26;-0.54;0.09;0.20;0.46;0.26;-0.75;-0.42;0.16;0.55;-0.45;0.40;-0.40;0.34;0.31;0.15;-0.55;0.25;-1;0;0;0;0

19.17;-0.08;-0.25;0.80;-0.26;-0.54;0.09;0.20;0.46;0.26;-0.75;-0.42;0.16;0.55;-0.45;0.40;-0.40;0.34;0.31;0.15;-0.55;+1;0;0;0;0

19.5;0.33;-0.08;-0.25;0.80;-0.26;-0.54;0.09;0.20;0.46;0.26;-0.75;-0.42;0.16;0.55;-0.45;0.40;-0.40;0.34;0.31;0.15;-1;0;0;0;0

19.3;-0.20;0.33;-0.08;-0.25;0.80;-0.26;-0.54;0.09;0.20;0.46;0.26;-0.75;-0.42;0.16;0.55;-0.45;0.40;-0.40;0.34;0.31;-1;0;0;0;0

19.3;0.00;-0.20;0.33;-0.08;-0.25;0.80;-0.26;-0.54;0.09;0.20;0.46;0.26;-0.75;-0.42;0.16;0.55;-0.45;0.40;-0.40;0.34;+1;0;0;0;0

19.7;0.40;0.00;-0.20;0.33;-0.08;-0.25;0.80;-0.26;-0.54;0.09;0.20;0.46;0.26;-0.75;-0.42;0.16;0.55;-0.45;0.40;-0.40;-1;0;0;0;0

19;-0.70;0.40;0.00;-0.20;0.33;-0.08;-0.25;0.80;-0.26;-0.54;0.09;0.20;0.46;0.26;-0.75;-0.42;0.16;0.55;-0.45;0.40;+1;0;0;0;0

19.34;0.34;-0.70;0.40;0.00;-0.20;0.33;-0.08;-0.25;0.80;-0.26;-0.54;0.09;0.20;0.46;0.26;-0.75;-0.42;0.16;0.55;-0.45;+1;0;0;0;0

19.63;0.29;0.34;-0.70;0.40;0.00;-0.20;0.33;-0.08;-0.25;0.80;-0.26;-0.54;0.09;0.20;0.46;0.26;-0.75;-0.42;0.16;0.55;+1;0;0;0;0

19.8;0.17;0.29;0.34;-0.70;0.40;0.00;-0.20;0.33;-0.08;-0.25;0.80;-0.26;-0.54;0.09;0.20;0.46;0.26;-0.75;-0.42;0.16;-1;0;0;0;0

19.8;0.00;0.17;0.29;0.34;-0.70;0.40;0.00;-0.20;0.33;-0.08;-0.25;0.80;-0.26;-0.54;0.09;0.20;0.46;0.26;-0.75;-0.42;+1;0;0;0;0

20.08;0.28;0.00;0.17;0.29;0.34;-0.70;0.40;0.00;-0.20;0.33;-0.08;-0.25;0.80;-0.26;-0.54;0.09;0.20;0.46;0.26;-0.75;-1;0;0;0;0

