23.3;-22.70;2.50;-0.51;-0.99;-0.98;-0.32;-1.20;0.90;0.45;0.35;-1.19;3.49;-1.50;-0.10;-1.69;1.28;2.01;1.25;0.25;0.01;+1;0;0;0;0

23.8;0.50;-22.70;2.50;-0.51;-0.99;-0.98;-0.32;-1.20;0.90;0.45;0.35;-1.19;3.49;-1.50;-0.10;-1.69;1.28;2.01;1.25;0.25;+1;0;0;0;0

25.35;1.55;0.50;-22.70;2.50;-0.51;-0.99;-0.98;-0.32;-1.20;0.90;0.45;0.35;-1.19;3.49;-1.50;-0.10;-1.69;1.28;2.01;1.25;+1;0;0;0;0

25.5;0.15;1.55;0.50;-22.70;2.50;-0.51;-0.99;-0.98;-0.32;-1.20;0.90;0.45;0.35;-1.19;3.49;-1.50;-0.10;-1.69;1.28;2.01;+1;0;0;0;0

25.9;0.40;0.15;1.55;0.50;-22.70;2.50;-0.51;-0.99;-0.98;-0.32;-1.20;0.90;0.45;0.35;-1.19;3.49;-1.50;-0.10;-1.69;1.28;-1;0;0;0;0

25.35;-0.55;0.40;0.15;1.55;0.50;-22.70;2.50;-0.51;-0.99;-0.98;-0.32;-1.20;0.90;0.45;0.35;-1.19;3.49;-1.50;-0.10;-1.69;-1;0;0;0;0

25;-0.35;-0.55;0.40;0.15;1.55;0.50;-22.70;2.50;-0.51;-0.99;-0.98;-0.32;-1.20;0.90;0.45;0.35;-1.19;3.49;-1.50;-0.10;-1;0;0;0;0

23.49;-1.51;-0.35;-0.55;0.40;0.15;1.55;0.50;-22.70;2.50;-0.51;-0.99;-0.98;-0.32;-1.20;0.90;0.45;0.35;-1.19;3.49;-1.50;-1;0;0;0;0

22.5;-0.99;-1.51;-0.35;-0.55;0.40;0.15;1.55;0.50;-22.70;2.50;-0.51;-0.99;-0.98;-0.32;-1.20;0.90;0.45;0.35;-1.19;3.49;-1;0;0;0;0

21.99;-0.51;-0.99;-1.51;-0.35;-0.55;0.40;0.15;1.55;0.50;-22.70;2.50;-0.51;-0.99;-0.98;-0.32;-1.20;0.90;0.45;0.35;-1.19;+1;0;0;0;0

22.15;0.16;-0.51;-0.99;-1.51;-0.35;-0.55;0.40;0.15;1.55;0.50;-22.70;2.50;-0.51;-0.99;-0.98;-0.32;-1.20;0.90;0.45;0.35;-1;0;0;0;0

21.9;-0.25;0.16;-0.51;-0.99;-1.51;-0.35;-0.55;0.40;0.15;1.55;0.50;-22.70;2.50;-0.51;-0.99;-0.98;-0.32;-1.20;0.90;0.45;-1;0;0;0;0

21;-0.90;-0.25;0.16;-0.51;-0.99;-1.51;-0.35;-0.55;0.40;0.15;1.55;0.50;-22.70;2.50;-0.51;-0.99;-0.98;-0.32;-1.20;0.90;+1;0;0;0;0

21.2;0.20;-0.90;-0.25;0.16;-0.51;-0.99;-1.51;-0.35;-0.55;0.40;0.15;1.55;0.50;-22.70;2.50;-0.51;-0.99;-0.98;-0.32;-1.20;-1;0;0;0;0

19.59;-1.61;0.20;-0.90;-0.25;0.16;-0.51;-0.99;-1.51;-0.35;-0.55;0.40;0.15;1.55;0.50;-22.70;2.50;-0.51;-0.99;-0.98;-0.32;-1;0;0;0;0

18.5;-1.09;-1.61;0.20;-0.90;-0.25;0.16;-0.51;-0.99;-1.51;-0.35;-0.55;0.40;0.15;1.55;0.50;-22.70;2.50;-0.51;-0.99;-0.98;-1;0;0;0;0

17.99;-0.51;-1.09;-1.61;0.20;-0.90;-0.25;0.16;-0.51;-0.99;-1.51;-0.35;-0.55;0.40;0.15;1.55;0.50;-22.70;2.50;-0.51;-0.99;+1;0;0;0;0

19.5;1.51;-0.51;-1.09;-1.61;0.20;-0.90;-0.25;0.16;-0.51;-0.99;-1.51;-0.35;-0.55;0.40;0.15;1.55;0.50;-22.70;2.50;-0.51;+1;0;0;0;0

21;1.50;1.51;-0.51;-1.09;-1.61;0.20;-0.90;-0.25;0.16;-0.51;-0.99;-1.51;-0.35;-0.55;0.40;0.15;1.55;0.50;-22.70;2.50;-1;0;0;0;0

20.7;-0.30;1.50;1.51;-0.51;-1.09;-1.61;0.20;-0.90;-0.25;0.16;-0.51;-0.99;-1.51;-0.35;-0.55;0.40;0.15;1.55;0.50;-22.70;-1;0;0;0;0

19.74;-0.96;-0.30;1.50;1.51;-0.51;-1.09;-1.61;0.20;-0.90;-0.25;0.16;-0.51;-0.99;-1.51;-0.35;-0.55;0.40;0.15;1.55;0.50;-1;0;0;0;0

19.3;-0.44;-0.96;-0.30;1.50;1.51;-0.51;-1.09;-1.61;0.20;-0.90;-0.25;0.16;-0.51;-0.99;-1.51;-0.35;-0.55;0.40;0.15;1.55;-1;0;0;0;0

19.3;0.00;-0.44;-0.96;-0.30;1.50;1.51;-0.51;-1.09;-1.61;0.20;-0.90;-0.25;0.16;-0.51;-0.99;-1.51;-0.35;-0.55;0.40;0.15;+1;0;0;0;0

20;0.70;0.00;-0.44;-0.96;-0.30;1.50;1.51;-0.51;-1.09;-1.61;0.20;-0.90;-0.25;0.16;-0.51;-0.99;-1.51;-0.35;-0.55;0.40;+1;0;0;0;0

20.48;0.48;0.70;0.00;-0.44;-0.96;-0.30;1.50;1.51;-0.51;-1.09;-1.61;0.20;-0.90;-0.25;0.16;-0.51;-0.99;-1.51;-0.35;-0.55;-1;0;0;0;0

20.25;-0.23;0.48;0.70;0.00;-0.44;-0.96;-0.30;1.50;1.51;-0.51;-1.09;-1.61;0.20;-0.90;-0.25;0.16;-0.51;-0.99;-1.51;-0.35;+1;0;0;0;0

20.7;0.45;-0.23;0.48;0.70;0.00;-0.44;-0.96;-0.30;1.50;1.51;-0.51;-1.09;-1.61;0.20;-0.90;-0.25;0.16;-0.51;-0.99;-1.51;-1;0;0;0;0

19.99;-0.71;0.45;-0.23;0.48;0.70;0.00;-0.44;-0.96;-0.30;1.50;1.51;-0.51;-1.09;-1.61;0.20;-0.90;-0.25;0.16;-0.51;-0.99;-1;0;0;0;0

19.85;-0.14;-0.71;0.45;-0.23;0.48;0.70;0.00;-0.44;-0.96;-0.30;1.50;1.51;-0.51;-1.09;-1.61;0.20;-0.90;-0.25;0.16;-0.51;-1;0;0;0;0

18.48;-1.37;-0.14;-0.71;0.45;-0.23;0.48;0.70;0.00;-0.44;-0.96;-0.30;1.50;1.51;-0.51;-1.09;-1.61;0.20;-0.90;-0.25;0.16;-1;0;0;0;0

16.95;-1.53;-1.37;-0.14;-0.71;0.45;-0.23;0.48;0.70;0.00;-0.44;-0.96;-0.30;1.50;1.51;-0.51;-1.09;-1.61;0.20;-0.90;-0.25;-1;0;0;0;0

