4.65;-0.03;-0.25;0.08;0.08;0.04;-0.05;-0.12;0.00;0.12;-0.01;0.05;-0.04;-0.08;-0.19;0.04;-0.19;-0.09;-0.10;0.19;0.21;0.05;-0.14;-0.04;0.07;-0.06;-0.20;0.11;-0.10;0.04;-0.29;0.00;-0.09;0.01;-0.07;0.03;-0.06;-0.11;-0.14;-0.04;-0.06;+1;0;0;0;0

4.7;0.05;-0.03;-0.25;0.08;0.08;0.04;-0.05;-0.12;0.00;0.12;-0.01;0.05;-0.04;-0.08;-0.19;0.04;-0.19;-0.09;-0.10;0.19;0.21;0.05;-0.14;-0.04;0.07;-0.06;-0.20;0.11;-0.10;0.04;-0.29;0.00;-0.09;0.01;-0.07;0.03;-0.06;-0.11;-0.14;-0.04;+1;0;0;0;0

4.72;0.02;0.05;-0.03;-0.25;0.08;0.08;0.04;-0.05;-0.12;0.00;0.12;-0.01;0.05;-0.04;-0.08;-0.19;0.04;-0.19;-0.09;-0.10;0.19;0.21;0.05;-0.14;-0.04;0.07;-0.06;-0.20;0.11;-0.10;0.04;-0.29;0.00;-0.09;0.01;-0.07;0.03;-0.06;-0.11;-0.14;-1;0;0;0;0

4.61;-0.11;0.02;0.05;-0.03;-0.25;0.08;0.08;0.04;-0.05;-0.12;0.00;0.12;-0.01;0.05;-0.04;-0.08;-0.19;0.04;-0.19;-0.09;-0.10;0.19;0.21;0.05;-0.14;-0.04;0.07;-0.06;-0.20;0.11;-0.10;0.04;-0.29;0.00;-0.09;0.01;-0.07;0.03;-0.06;-0.11;+1;0;0;0;0

4.85;0.24;-0.11;0.02;0.05;-0.03;-0.25;0.08;0.08;0.04;-0.05;-0.12;0.00;0.12;-0.01;0.05;-0.04;-0.08;-0.19;0.04;-0.19;-0.09;-0.10;0.19;0.21;0.05;-0.14;-0.04;0.07;-0.06;-0.20;0.11;-0.10;0.04;-0.29;0.00;-0.09;0.01;-0.07;0.03;-0.06;+1;0;0;0;0

4.94;0.09;0.24;-0.11;0.02;0.05;-0.03;-0.25;0.08;0.08;0.04;-0.05;-0.12;0.00;0.12;-0.01;0.05;-0.04;-0.08;-0.19;0.04;-0.19;-0.09;-0.10;0.19;0.21;0.05;-0.14;-0.04;0.07;-0.06;-0.20;0.11;-0.10;0.04;-0.29;0.00;-0.09;0.01;-0.07;0.03;+1;0;0;0;0

4.97;0.03;0.09;0.24;-0.11;0.02;0.05;-0.03;-0.25;0.08;0.08;0.04;-0.05;-0.12;0.00;0.12;-0.01;0.05;-0.04;-0.08;-0.19;0.04;-0.19;-0.09;-0.10;0.19;0.21;0.05;-0.14;-0.04;0.07;-0.06;-0.20;0.11;-0.10;0.04;-0.29;0.00;-0.09;0.01;-0.07;-1;0;0;0;0

