27;-1.55;1.20;0.25;0.05;4.05;1.10;0.40;1.00;-0.49;0.64;-0.65;0.35;-0.35;0.10;-0.60;0.86;0.84;-0.20;0.15;-0.04;-1;0;0;0;0

26.2;-0.80;-1.55;1.20;0.25;0.05;4.05;1.10;0.40;1.00;-0.49;0.64;-0.65;0.35;-0.35;0.10;-0.60;0.86;0.84;-0.20;0.15;+1;0;0;0;0

26.4;0.20;-0.80;-1.55;1.20;0.25;0.05;4.05;1.10;0.40;1.00;-0.49;0.64;-0.65;0.35;-0.35;0.10;-0.60;0.86;0.84;-0.20;-1;0;0;0;0

25.99;-0.41;0.20;-0.80;-1.55;1.20;0.25;0.05;4.05;1.10;0.40;1.00;-0.49;0.64;-0.65;0.35;-0.35;0.10;-0.60;0.86;0.84;+1;0;0;0;0

27;1.01;-0.41;0.20;-0.80;-1.55;1.20;0.25;0.05;4.05;1.10;0.40;1.00;-0.49;0.64;-0.65;0.35;-0.35;0.10;-0.60;0.86;+1;0;0;0;0

27.01;0.01;1.01;-0.41;0.20;-0.80;-1.55;1.20;0.25;0.05;4.05;1.10;0.40;1.00;-0.49;0.64;-0.65;0.35;-0.35;0.10;-0.60;-1;0;0;0;0

27;-0.01;0.01;1.01;-0.41;0.20;-0.80;-1.55;1.20;0.25;0.05;4.05;1.10;0.40;1.00;-0.49;0.64;-0.65;0.35;-0.35;0.10;-1;0;0;0;0

25.5;-1.50;-0.01;0.01;1.01;-0.41;0.20;-0.80;-1.55;1.20;0.25;0.05;4.05;1.10;0.40;1.00;-0.49;0.64;-0.65;0.35;-0.35;-1;0;0;0;0

24.8;-0.70;-1.50;-0.01;0.01;1.01;-0.41;0.20;-0.80;-1.55;1.20;0.25;0.05;4.05;1.10;0.40;1.00;-0.49;0.64;-0.65;0.35;-1;0;0;0;0

24.21;-0.59;-0.70;-1.50;-0.01;0.01;1.01;-0.41;0.20;-0.80;-1.55;1.20;0.25;0.05;4.05;1.10;0.40;1.00;-0.49;0.64;-0.65;+1;0;0;0;0

24.5;0.29;-0.59;-0.70;-1.50;-0.01;0.01;1.01;-0.41;0.20;-0.80;-1.55;1.20;0.25;0.05;4.05;1.10;0.40;1.00;-0.49;0.64;+1;0;0;0;0

25.15;0.65;0.29;-0.59;-0.70;-1.50;-0.01;0.01;1.01;-0.41;0.20;-0.80;-1.55;1.20;0.25;0.05;4.05;1.10;0.40;1.00;-0.49;-1;0;0;0;0

24.13;-1.02;0.65;0.29;-0.59;-0.70;-1.50;-0.01;0.01;1.01;-0.41;0.20;-0.80;-1.55;1.20;0.25;0.05;4.05;1.10;0.40;1.00;-1;0;0;0;0

23;-1.13;-1.02;0.65;0.29;-0.59;-0.70;-1.50;-0.01;0.01;1.01;-0.41;0.20;-0.80;-1.55;1.20;0.25;0.05;4.05;1.10;0.40;+1;0;0;0;0

23.02;0.02;-1.13;-1.02;0.65;0.29;-0.59;-0.70;-1.50;-0.01;0.01;1.01;-0.41;0.20;-0.80;-1.55;1.20;0.25;0.05;4.05;1.10;+1;0;0;0;0

23.8;0.78;0.02;-1.13;-1.02;0.65;0.29;-0.59;-0.70;-1.50;-0.01;0.01;1.01;-0.41;0.20;-0.80;-1.55;1.20;0.25;0.05;4.05;-1;0;0;0;0

23.75;-0.05;0.78;0.02;-1.13;-1.02;0.65;0.29;-0.59;-0.70;-1.50;-0.01;0.01;1.01;-0.41;0.20;-0.80;-1.55;1.20;0.25;0.05;+1;0;0;0;0

23.95;0.20;-0.05;0.78;0.02;-1.13;-1.02;0.65;0.29;-0.59;-0.70;-1.50;-0.01;0.01;1.01;-0.41;0.20;-0.80;-1.55;1.20;0.25;-1;0;0;0;0

23.66;-0.29;0.20;-0.05;0.78;0.02;-1.13;-1.02;0.65;0.29;-0.59;-0.70;-1.50;-0.01;0.01;1.01;-0.41;0.20;-0.80;-1.55;1.20;-1;0;0;0;0

